stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
ATOMIC,0.9375,0.95,1.0,1.0,0.0030749225219097974,0.0081496641623393,0.0,0.004297510274603023,2.649827524679869,0.005074741640429502,4298.510274603023,0.004297510274603023
BRANCH,1.0,1.0,1.0,1.0,0.0030749225219097974,0.008265242981978126,0.0,0.005903041724549288,2.687402859824223,0.005190320460068329,5904.041724549288,0.005903041724549288
CACHE,0.9375,0.95,1.0,1.0,0.0030749225219097974,0.010625352683932596,0.0,0.007156765523478351,3.4546880190385423,0.007550430162022798,7157.7655234783515,0.007156765523478351
MEMBW,1.0,1.0,1.0,1.0,0.0030749225219097974,0.009168563549282296,0.0,0.005732172868760146,2.981077541442442,0.006093641027372499,5733.172868760146,0.005732172868760146
TLB,0.9375,0.95,1.0,1.0,0.0030749225219097974,0.006781570173604457,0.0,0.0044655658065850794,2.2050523461797904,0.0037066476516946596,4466.565806585079,0.0044655658065850794
