config,holdout_workload,case_id,workload,stressor,label,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,tier0,0.005869106236338904,0.0,0.0,1.0,0.0,0.0,memory_io,0.0012739932533935604,0.21706767642159192,0.003259535258843032,0.5553716575551887,0.0,0.0,0.0008213173917112385,0.13993909100264795,0.0005142603323910731,0.08762157502057147,tier0:mem_free_bytes,0.0004497996969657376,tier0:ctx_switches,0.000360273315490508,tier0:uptime_s,0.00034156628329851547,tier0:net_sent_Pps,0.00029896507114927706,tier0:cpu_times_idle_pct,0.00029322102985901183,memory_io,0.003259535258843032,compute,0.0012739932533935604,scheduler_runtime,0.0008213173917112385
tier0,ALL,BROWSER__BRANCH,BROWSER,BRANCH,1,tier0,0.014631400215282564,0.0,0.0,1.0,0.0,0.0,memory_io,0.001927662730440862,0.1317483427476346,0.00846686440075019,0.5786776573787183,0.0,0.0,0.0016983487298505063,0.11607561168865939,0.0025385243542410067,0.1734983881849877,tier0:uptime_s,0.0016165740670688027,tier0:net_sent_Pps,0.000943353749854575,tier0:mem_percent,0.0007619629947630808,tier0:mem_inactive_bytes,0.000760026644759809,tier0:mem_available_bytes,0.0007583389441611093,memory_io,0.00846686440075019,platform_pressure,0.0025385243542410067,compute,0.001927662730440862
tier0,ALL,BROWSER__CACHE,BROWSER,CACHE,1,tier0,0.009011225245636068,0.0,0.0,1.0,0.0,0.0,memory_io,0.0018090506420667804,0.20075523502676426,0.004402831191660782,0.4885940670268977,0.0,0.0,0.0013445470308838885,0.1492080149183955,0.0014547963810246168,0.16144268302794246,tier0:uptime_s,0.001110506314646317,tier0:soft_interrupts,0.00047785384362367285,tier0:cpu_times_idle_pct,0.0003845382737279562,tier0:swap_used_bytes,0.00035845040825269013,tier0:mem_inactive_bytes,0.00030536898581377564,memory_io,0.004402831191660782,compute,0.0018090506420667804,platform_pressure,0.0014547963810246168
tier0,ALL,BROWSER__MEMBW,BROWSER,MEMBW,1,tier0,0.010675677493883713,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.001656855609325176,0.15519910659294633,0.007054292803540817,0.6607817450070359,0.0,0.0,0.0011063930236646841,0.1036367972242096,0.0008581360573530311,0.08038235117580808,tier0:net_sent_Pps,0.0013697705104316663,tier0:net_recv_Pps,0.0006055582376204925,tier0:uptime_s,0.0005465771179296658,tier0:mem_inactive_bytes,0.0005127388007556378,tier0:mem_percent,0.0005045014167003936,memory_io,0.007054292803540817,compute,0.001656855609325176,scheduler_runtime,0.0011063930236646841
tier0,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,0,tier0,0.003253893706136134,0.0,0.0,1.0,0.0,0.0,memory_io,0.0010889224465354356,0.33465212599968014,0.0012847595359648234,0.39483758597954416,0.0,0.0,0.0004289312501168379,0.13182091637104407,0.0004512804735190371,0.1386893716497317,tier0:cpu_times_idle_pct,0.00034840802906301087,tier0:mem_free_bytes,0.00019179318794139934,tier0:ctx_switches,0.0001680102074554572,tier0:net_sent_Bps,0.00016428909364892436,tier0:net_sent_Pps,0.00015069901542088523,memory_io,0.0012847595359648234,compute,0.0010889224465354356,platform_pressure,0.0004512804735190371
tier0,ALL,BROWSER__TLB,BROWSER,TLB,1,tier0,0.009981415754661166,0.0,0.0,1.0,0.0,0.0,memory_io,0.0015496520199967444,0.1552537293392554,0.0060690340072227,0.6080333848821552,0.0,0.0,0.0015631096154098876,0.1566019945296778,0.0007996201120318309,0.08011089124891134,tier0:uptime_s,0.0006879674364281326,tier0:soft_interrupts,0.000557244897264525,tier0:net_sent_Pps,0.00048405397131665376,tier0:net_recv_Pps,0.0004624529153034447,tier0:mem_inactive_bytes,0.0004589375742512408,memory_io,0.0060690340072227,scheduler_runtime,0.0015631096154098876,compute,0.0015496520199967444
tier0,ALL,PY_AI__ATOMIC,PY_AI,ATOMIC,1,tier0,0.006691505558965099,0.0,0.0,1.0,0.0,0.0,memory_io,0.0012767886324947925,0.19080737828636865,0.003683685743889216,0.5505017834071606,0.0,0.0,0.0011028981282904385,0.16482062498069738,0.0006281330542906523,0.09387021332577337,tier0:mem_inactive_bytes,0.00043965949276150647,tier0:syscalls,0.000428765853934432,tier0:mem_percent,0.00035988425657262804,tier0:mem_available_bytes,0.0003589660875894319,tier0:uptime_s,0.00035715342036376336,memory_io,0.003683685743889216,compute,0.0012767886324947925,scheduler_runtime,0.0011028981282904385
tier0,ALL,PY_AI__BRANCH,PY_AI,BRANCH,1,tier0,0.010638873455394562,0.0,0.0,1.0,0.0,0.0,memory_io,0.0019270967668644251,0.18113729568681622,0.005970687852634575,0.5612142937565509,0.0,0.0,0.0013285170845148777,0.12487384966885173,0.0014125717513806836,0.1327745608877811,tier0:uptime_s,0.0009959135803303992,tier0:soft_interrupts,0.0005544323827301147,tier0:swap_percent,0.0005082165697190854,tier0:swap_used_bytes,0.0004981376628000358,tier0:swap_free_bytes,0.0004920162317017416,memory_io,0.005970687852634575,compute,0.0019270967668644251,platform_pressure,0.0014125717513806836
tier0,ALL,PY_AI__CACHE,PY_AI,CACHE,1,tier0,0.006535971259727396,0.0,0.0,1.0,0.0,0.0,memory_io,0.001948592228286857,0.29813353683078,0.0027414142439753874,0.41943486821417375,0.0,0.0,0.0007043917733245758,0.1077715530459592,0.001141573014140575,0.17466004190908702,tier0:uptime_s,0.0007459736857762402,tier0:cpu_times_idle_pct,0.0003152026158446302,tier0:net_sent_Bps,0.00025296757220844354,tier0:net_sent_Pps,0.00022904511321260936,tier0:cpu_times_user_pct,0.00020973774724909145,memory_io,0.0027414142439753874,compute,0.001948592228286857,platform_pressure,0.001141573014140575
tier0,ALL,PY_AI__MEMBW,PY_AI,MEMBW,1,tier0,0.010955900079128243,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0017946322516275916,0.16380509484989667,0.006748016497092001,0.6159253414466098,0.0,0.0,0.0014173829925168803,0.12937166113965337,0.000995868337891766,0.09089790256384003,tier0:uptime_s,0.0008408009826376476,tier0:swap_percent,0.0005864310981765193,tier0:swap_free_bytes,0.0005649796351627666,tier0:swap_used_bytes,0.0005576770885068475,tier0:soft_interrupts,0.000483417265851612,memory_io,0.006748016497092001,compute,0.0017946322516275916,scheduler_runtime,0.0014173829925168803
