config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second
tier0,20,0.3,0.55,0.3,0.22626262626262625,0.011131040541233837,0.006945720298999106
tier0_tier1,20,0.05,0.45,0.05,0.04444444444444444,0.013624865073929663,0.010147952006985164
tier0_tier1_tier2,20,0.2,0.5,0.2,0.1393939393939394,0.016629909443431075,0.014403335303294667
