config,holdout_workload,case_id,base_case_id,repeat_tag,repeat_index,workload,stressor,label_name,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,PY_AI__NOMINAL,PY_AI__NOMINAL,,0,PY_AI,NOMINAL,NOMINAL,benign,0,peak_window,5,"219,220,221,222,223",219,0.00413119874008341,0.004098556606534751,0.00413119874008341,tier0,0.00203798659279104,0.0,0.0,1.0,0.0,0.0,compute,0.000939814941113706,0.46114873593286076,0.0008331269418840524,0.40879902980278093,0.0,0.0,0.0001442613272652196,0.07078620034867476,0.00012078338252806185,0.05926603391568341,tier0:cpu_times_idle_pct,0.00022048049135205133,tier0:cpu_pct,0.00011442966328519661,tier0:cpu_times_user_pct,0.00010979672030096589,tier0:net_sent_Bps,9.940110982712188e-05,tier0:net_sent_Pps,9.118317973823074e-05,compute,0.000939814941113706,memory_io,0.0008331269418840524,scheduler_runtime,0.0001442613272652196,full
tier0,ALL,PY_AI__TLB,PY_AI__TLB,,0,PY_AI,TLB,ANOMALY,memory_pressure,1,peak_window,5,"728,729,730,731,732",728,0.005850267330879377,0.005822850249110052,0.005850267330879377,tier0,0.003328842401538852,0.0,0.0,1.0,0.0,0.0,memory_io,0.0011884496741652682,0.35701590246984166,0.0018153052852014245,0.5453262925160555,0.0,0.0,0.00019383082843514512,0.05822769751597171,0.00013125661373701347,0.039430107498130994,tier0:cpu_times_idle_pct,0.00019964537064271208,tier0:swap_sin_bytes,0.00016137808800058384,tier0:net_recv_Pps,0.00014744804411960706,tier0:net_sent_Pps,0.00014576534405439133,tier0:net_recv_Bps,0.00014417485069866248,memory_io,0.0018153052852014245,compute,0.0011884496741652682,scheduler_runtime,0.00019383082843514512,full
tier0,ALL,PY_STATS__ATOMIC,PY_STATS__ATOMIC,,0,PY_STATS,ATOMIC,ANOMALY,synchronization,1,post_persist,5,"2,3,4,5,6",938,0.018415037637982627,0.016403538887450258,0.016432105099881397,tier0,0.00839292556822517,0.0,0.0,1.0,0.0,0.0,memory_io,0.0019639294378378364,0.23399819548895906,0.0052828676389741905,0.6294429273833467,0.0,0.0,0.000903820504544398,0.10768837364246117,0.00024230798686874412,0.028870503485232783,tier0:interrupts,0.0007532339311815557,tier0:mem_wired_bytes,0.0006739790607834375,tier0:mem_active_bytes,0.0006477483577448177,tier0:mem_used_bytes,0.0005749687392153604,tier0:net_sent_Bps,0.0004962228024150539,memory_io,0.0052828676389741905,compute,0.0019639294378378364,scheduler_runtime,0.000903820504544398,full
tier0,ALL,PY_STATS__BRANCH,PY_STATS__BRANCH,,0,PY_STATS,BRANCH,ANOMALY,control_flow,1,post_persist,5,"589,590,591,592,593",939,0.013812330638641002,0.012280159925708132,0.01229625361930865,tier0,0.00627789718886134,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0015844067837610385,0.252378580931876,0.0038472582236018156,0.6128259364342371,0.0,0.0,0.0005850615914394859,0.093193879071091,0.0002611705900589997,0.0416016035627958,tier0:interrupts,0.0005255518145364739,tier0:mem_wired_bytes,0.00046994434935329247,tier0:mem_active_bytes,0.0004642119713737043,tier0:net_sent_Bps,0.00038078724713709307,tier0:mem_used_bytes,0.0003748099757539511,memory_io,0.0038472582236018156,compute,0.0015844067837610385,scheduler_runtime,0.0005850615914394859,full
tier0,ALL,PY_STATS__CACHE,PY_STATS__CACHE,,0,PY_STATS,CACHE,ANOMALY,memory_pressure,1,peak_window_backfill,3,"937,938,939",938,0.008600695450222264,0.008588175821010692,0.008600695450222264,tier0,0.004210955299132389,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0012936218052065373,0.3072038797165742,0.002184934376812156,0.5188690502752029,0.0,0.0,0.0003248057643545439,0.07713351039880802,0.0004075933527591528,0.09679355960941498,tier0:interrupts,0.000281303862664578,tier0:mem_wired_bytes,0.0002610507457229646,tier0:mem_active_bytes,0.0002577380317822163,tier0:net_sent_Bps,0.0002542230206905737,tier0:cpu_times_idle_pct,0.00020330515729138644,memory_io,0.002184934376812156,compute,0.0012936218052065373,platform_pressure,0.0004075933527591528,full
tier0,ALL,PY_STATS__MEMBW,PY_STATS__MEMBW,,0,PY_STATS,MEMBW,ANOMALY,memory_pressure,1,post_persist,5,"2,3,4,5,6",936,0.016245638737616877,0.014104760371000604,0.014125873727260194,tier0,0.007739159337955146,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0016984077188630002,0.21945635755727394,0.004768522686718217,0.6161551246699313,0.0,0.0,0.0008232607878647807,0.10637599665731963,0.00044896814450914933,0.058012521115475106,tier0:interrupts,0.0006637030548899286,tier0:mem_active_bytes,0.000603727122748278,tier0:mem_wired_bytes,0.0005985544121381974,tier0:swap_sin_bytes,0.0004653260948931783,tier0:mem_used_bytes,0.0004584064767111802,memory_io,0.004768522686718217,compute,0.0016984077188630002,scheduler_runtime,0.0008232607878647807,full
tier0,ALL,PY_STATS__NOMINAL,PY_STATS__NOMINAL,,0,PY_STATS,NOMINAL,NOMINAL,benign,0,peak_window,5,"907,908,909,910,911",907,0.004199929590835238,0.00415455128698604,0.004199929590835238,tier0,0.0017829741531929838,0.0,0.0,1.0,0.0,0.0,compute,0.0010931546238220713,0.6131073868145701,0.0005352918117227068,0.3002241007050473,0.0,0.0,9.316353772622957e-05,0.05225176010509774,6.136417992197614e-05,0.03441675237528486,tier0:cpu_times_idle_pct,0.0002029419028571839,tier0:net_sent_Bps,0.00010843066690292388,tier0:net_sent_Pps,8.844186083129748e-05,tier0:cpu11_pct,7.760303082054433e-05,tier0:cpu_times_user_pct,7.759809876340042e-05,compute,0.0010931546238220713,memory_io,0.0005352918117227068,scheduler_runtime,9.316353772622957e-05,full
tier0,ALL,PY_STATS__TLB,PY_STATS__TLB,,0,PY_STATS,TLB,ANOMALY,memory_pressure,1,peak_window,5,"884,885,886,887,888",884,0.010368484507399026,0.010332107483153148,0.010368484507399026,tier0,0.004868905776911092,0.0,0.0,0.9999999999999994,0.0,0.0,memory_io,0.0014262614382058792,0.2929326430939316,0.002776721296672176,0.5702967820489986,0.0,0.0,0.00039257081876951667,0.08062814043991819,0.00027335222326352196,0.05614243441715166,tier0:interrupts,0.0003253747199978412,tier0:net_sent_Bps,0.0003097541914985311,tier0:mem_active_bytes,0.0002953499179470608,tier0:mem_wired_bytes,0.00028933404225290715,tier0:swap_sin_bytes,0.0002734700046790179,memory_io,0.002776721296672176,compute,0.0014262614382058792,scheduler_runtime,0.00039257081876951667,full
tier0,ALL,VIDEO_SW__ATOMIC,VIDEO_SW__ATOMIC,,0,VIDEO_SW,ATOMIC,ANOMALY,synchronization,1,peak_window,5,"26,27,28,29,30",26,0.00967049170329998,0.009619278644840372,0.00967049170329998,tier0,0.004165852810420387,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.001283474990185347,0.3080941762932397,0.0023041427107183513,0.5531022855523869,0.0,0.0,0.00039646328546332713,0.09516977759550724,0.00018177182405336328,0.04363376055886626,tier0:mem_used_bytes,0.00040209203736329784,tier0:interrupts,0.00030051909872050997,tier0:mem_wired_bytes,0.0002983606415406121,tier0:mem_active_bytes,0.00021667990403480576,tier0:mem_free_bytes,0.00019065262059763413,memory_io,0.0023041427107183513,compute,0.001283474990185347,scheduler_runtime,0.00039646328546332713,full
tier0,ALL,VIDEO_SW__BRANCH,VIDEO_SW__BRANCH,,0,VIDEO_SW,BRANCH,ANOMALY,control_flow,1,post_persist,5,"759,760,761,762,763",798,0.017573664836263974,0.013340458157897103,0.013408681002195024,tier0,0.005287032891300654,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0014736922889918968,0.27873711385770406,0.0031820182661382356,0.6018533138641837,0.0,0.0,0.0004003203912459836,0.07571740132441306,0.0002310019449245385,0.04369217095369916,tier0:net_sent_Bps,0.00030395338696921387,tier0:mem_used_bytes,0.00028345884204504913,tier0:interrupts,0.00026995345025884564,tier0:mem_wired_bytes,0.0002545564559092112,tier0:mem_free_bytes,0.00024838070778205164,memory_io,0.0031820182661382356,compute,0.0014736922889918968,scheduler_runtime,0.0004003203912459836,full
