true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,1,0,0,1,0,2
TLB,0,2,0,0,0,2
BRANCH,0,0,1,1,0,2
MEMBW,0,0,0,1,0,3
ATOMIC,0,0,0,0,2,2
