true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,1,0,1,0,2
TLB,1,0,0,0,2,1
BRANCH,1,1,1,1,0,0
MEMBW,1,0,2,0,0,1
ATOMIC,0,1,1,0,0,2
