config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.35,0.65,0.5,0.35,0.277979797979798,0.35,0.65,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.22666666666666666,0.002022684788116555,0.009379501506861149,0.012264976014388926,0.010666360550399972,0.011618745982861594,0.13838661418984383,full
tier0_tier1,20,0.1,0.45,0.45,0.1,0.11428571428571428,0.55,0.45,0.0,0.36363636363636365,0.0,0.0,0.004955691836982428,0.007309169727508058,0.02009757737625589,0.019075316252701355,0.009404707540451515,0.022921034685790126,full
tier0_tier1_tier2,20,0.25,0.45,0.4,0.25,0.18,0.5,0.5,0.3,0.5,0.3333333333333333,0.18888888888888888,0.013905713795255691,0.01770227435521235,0.02097691606640809,0.018022632306838197,0.011057210556111738,0.08196607027492522,full
