feature_profile,stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
mixed,ATOMIC,0.8125,0.8041666666666667,1.0,1.0,4.793132436586033e-05,0.00010363811727048596,0.0,6.100510414169841e-05,2.1384689383860738,5.5706792904625636e-05,62.00510414169842,6.100510414169841e-05
mixed,BRANCH,0.9375,0.95,1.0,1.0,4.793132436586033e-05,0.00017693428313159912,0.0,0.00011972323732607472,3.6364084855169976,0.0001290029587657388,120.72323732607472,0.00011972323732607472
mixed,CACHE,0.8125,0.8041666666666667,1.0,1.0,4.793132436586033e-05,0.00010437236550966143,0.0,6.18259663565093e-05,2.153474627455217,5.6441041143801105e-05,62.8259663565093,6.18259663565093e-05
mixed,MEMBW,0.875,0.8875,1.0,1.0,4.793132436586033e-05,0.00017138122688164673,0.0,0.0001028684856422514,3.52292175034441,0.00012344990251578642,103.8684856422514,0.0001028684856422514
mixed,TLB,0.75,0.6791666666666667,1.0,1.0,4.793132436586033e-05,0.00011613570278759484,0.0,5.799025421083958e-05,2.39387967331048,6.820437842173451e-05,58.99025421083958,5.799025421083958e-05
