config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second,feature_profile
tier0,20,0.25,0.5,0.25,0.2431746031746032,0.01690896838759222,0.01135401001042162,full
tier0_tier1,20,0.1,0.3,0.1,0.09444444444444444,0.1015236266194987,0.046994602669070726,full
tier0_tier1_tier2,20,0.1,0.2,0.1,0.08,0.02159531634099355,0.01783175943761056,full
