config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second
tier0,20,0.25,0.5,0.25,0.16666666666666666,0.028012442006601922,0.020127195092049008
tier0_tier1,20,0.15,0.4,0.15,0.13444444444444445,0.017091802138961575,0.016146652251647454
tier0_tier1_tier2,20,0.2,0.25,0.2,0.18534798534798536,0.013905054457647998,0.012710025306577031
