idx,ane_power_w,cpu_avg_freq_mhz,cpu_power_w,cpu_residency_active_pct,cpu_temp_c,cpu_usage_pct,fan_rpm,gpu_avg_freq_mhz,gpu_power_w,gpu_residency_active_pct,gpu_temp_c,gpu_usage_pct,soc_temp_c
0,0.0,1892.0,3.7605295181274414,36.99,36.34730529785156,1496.0,0.0,1367.0,0.0116423647850751,100.0,47.914546966552734,333.0,0.0
1,0.0,1892.0,3.7605295181274414,36.99,36.34730529785156,1496.0,0.0,1367.0,0.0116423647850751,100.0,47.914546966552734,333.0,0.0
2,0.0,1892.0,3.7605295181274414,36.99,36.34730529785156,1496.0,0.0,1367.0,0.0116423647850751,100.0,47.914546966552734,333.0,0.0
3,0.0,1892.0,3.7605295181274414,36.99,36.34730529785156,1496.0,0.0,1367.0,0.0116423647850751,100.0,47.914546966552734,333.0,0.0
4,0.0,1892.0,3.7605295181274414,36.99,36.34730529785156,1496.0,0.0,1367.0,0.0116423647850751,100.0,47.914546966552734,333.0,0.0
5,0.0,1892.0,3.692422866821289,36.99,35.77702713012695,1384.0,0.0,1367.0,0.0143184280022978,100.0,47.61313247680664,333.0,0.0
6,0.0,1892.0,3.692422866821289,36.99,35.77702713012695,1384.0,0.0,1367.0,0.0143184280022978,100.0,47.61313247680664,333.0,0.0
7,0.0,1892.0,3.692422866821289,36.99,35.77702713012695,1384.0,0.0,1367.0,0.0143184280022978,100.0,47.61313247680664,333.0,0.0
8,0.0,1892.0,3.692422866821289,36.99,35.77702713012695,1384.0,0.0,1367.0,0.0143184280022978,100.0,47.61313247680664,333.0,0.0
9,0.0,1892.0,3.692422866821289,36.99,35.77702713012695,1384.0,0.0,1367.0,0.0143184280022978,100.0,47.61313247680664,333.0,0.0
10,0.0,1892.0,3.857718944549561,36.99,35.86579895019531,1480.0,0.0,1367.0,0.0077201318927109,100.0,47.56209564208984,222.0,0.0
11,0.0,1892.0,3.857718944549561,36.99,35.86579895019531,1480.0,0.0,1367.0,0.0077201318927109,100.0,47.56209564208984,222.0,0.0
12,0.0,1892.0,3.857718944549561,36.99,35.86579895019531,1480.0,0.0,1367.0,0.0077201318927109,100.0,47.56209564208984,222.0,0.0
13,0.0,1892.0,3.857718944549561,36.99,35.86579895019531,1480.0,0.0,1367.0,0.0077201318927109,100.0,47.56209564208984,222.0,0.0
14,0.0,1892.0,3.857718944549561,36.99,35.86579895019531,1480.0,0.0,1367.0,0.0077201318927109,100.0,47.56209564208984,222.0,0.0
15,0.0,1892.0,3.857718944549561,36.99,35.86579895019531,1480.0,0.0,1367.0,0.0077201318927109,100.0,47.56209564208984,222.0,0.0
16,0.0,1892.0,3.662014961242676,36.99,35.75265121459961,1242.0,0.0,1367.0,0.0042667388916015,100.0,47.52881622314453,222.0,0.0
17,0.0,1892.0,3.662014961242676,36.99,35.75265121459961,1242.0,0.0,1367.0,0.0042667388916015,100.0,47.52881622314453,222.0,0.0
18,0.0,1892.0,3.662014961242676,36.99,35.75265121459961,1242.0,0.0,1367.0,0.0042667388916015,100.0,47.52881622314453,222.0,0.0
19,0.0,1892.0,3.662014961242676,36.99,35.75265121459961,1242.0,0.0,1367.0,0.0042667388916015,100.0,47.52881622314453,222.0,0.0
20,0.0,1892.0,3.662014961242676,36.99,35.75265121459961,1242.0,0.0,1367.0,0.0042667388916015,100.0,47.52881622314453,222.0,0.0
21,0.0,1892.0,3.6157052516937256,36.99,9.71303653717041,1126.0,0.0,1367.0,0.0045622801408171,100.0,47.71036529541016,222.0,0.0
22,0.0,1892.0,3.6157052516937256,36.99,9.71303653717041,1126.0,0.0,1367.0,0.0045622801408171,100.0,47.71036529541016,222.0,0.0
23,0.0,1892.0,3.6157052516937256,36.99,9.71303653717041,1126.0,0.0,1367.0,0.0045622801408171,100.0,47.71036529541016,222.0,0.0
24,0.0,1892.0,3.6157052516937256,36.99,9.71303653717041,1126.0,0.0,1367.0,0.0045622801408171,100.0,47.71036529541016,222.0,0.0
25,0.0,1892.0,3.6157052516937256,36.99,9.71303653717041,1126.0,0.0,1367.0,0.0045622801408171,100.0,47.71036529541016,222.0,0.0
26,0.0,1892.0,3.990708827972412,36.99,35.68688201904297,1216.0,0.0,1367.0,0.0047962283715605,100.0,47.41053009033203,333.0,0.0
27,0.0,1892.0,3.990708827972412,36.99,35.68688201904297,1216.0,0.0,1367.0,0.0047962283715605,100.0,47.41053009033203,333.0,0.0
28,0.0,1892.0,3.990708827972412,36.99,35.68688201904297,1216.0,0.0,1367.0,0.0047962283715605,100.0,47.41053009033203,333.0,0.0
29,0.0,1892.0,3.990708827972412,36.99,35.68688201904297,1216.0,0.0,1367.0,0.0047962283715605,100.0,47.41053009033203,333.0,0.0
30,0.0,1892.0,3.990708827972412,36.99,35.68688201904297,1216.0,0.0,1367.0,0.0047962283715605,100.0,47.41053009033203,333.0,0.0
31,0.0,1892.0,3.761221170425415,36.99,36.2055549621582,1486.0,0.0,1367.0,0.014177949167788,100.0,47.57975387573242,222.0,0.0
32,0.0,1892.0,3.761221170425415,36.99,36.2055549621582,1486.0,0.0,1367.0,0.014177949167788,100.0,47.57975387573242,222.0,0.0
33,0.0,1892.0,3.761221170425415,36.99,36.2055549621582,1486.0,0.0,1367.0,0.014177949167788,100.0,47.57975387573242,222.0,0.0
34,0.0,1892.0,3.761221170425415,36.99,36.2055549621582,1486.0,0.0,1367.0,0.014177949167788,100.0,47.57975387573242,222.0,0.0
35,0.0,1892.0,3.761221170425415,36.99,36.2055549621582,1486.0,0.0,1367.0,0.014177949167788,100.0,47.57975387573242,222.0,0.0
36,0.0,1892.0,5.495647430419922,36.99,35.16913986206055,1456.0,0.0,1367.0,0.0129298074170947,100.0,47.353363037109375,333.0,0.0
37,0.0,1892.0,5.495647430419922,36.99,35.16913986206055,1456.0,0.0,1367.0,0.0129298074170947,100.0,47.353363037109375,333.0,0.0
38,0.0,1892.0,5.495647430419922,36.99,35.16913986206055,1456.0,0.0,1367.0,0.0129298074170947,100.0,47.353363037109375,333.0,0.0
39,0.0,1892.0,5.495647430419922,36.99,35.16913986206055,1456.0,0.0,1367.0,0.0129298074170947,100.0,47.353363037109375,333.0,0.0
40,0.0,1892.0,5.495647430419922,36.99,35.16913986206055,1456.0,0.0,1367.0,0.0129298074170947,100.0,47.353363037109375,333.0,0.0
41,0.0,1892.0,5.338792324066162,36.99,36.99495315551758,1597.0,0.0,1367.0,0.0049052629619836,100.0,47.73381423950195,333.0,0.0
42,0.0,1892.0,5.338792324066162,36.99,36.99495315551758,1597.0,0.0,1367.0,0.0049052629619836,100.0,47.73381423950195,333.0,0.0
43,0.0,1892.0,5.338792324066162,36.99,36.99495315551758,1597.0,0.0,1367.0,0.0049052629619836,100.0,47.73381423950195,333.0,0.0
44,0.0,1892.0,5.338792324066162,36.99,36.99495315551758,1597.0,0.0,1367.0,0.0049052629619836,100.0,47.73381423950195,333.0,0.0
45,0.0,1892.0,5.338792324066162,36.99,36.99495315551758,1597.0,0.0,1367.0,0.0049052629619836,100.0,47.73381423950195,333.0,0.0
46,0.0,1892.0,3.921025514602661,36.99,36.304542541503906,1605.0,0.0,1367.0,0.0184407792985439,100.0,47.51493453979492,333.0,0.0
47,0.0,1892.0,3.921025514602661,36.99,36.304542541503906,1605.0,0.0,1367.0,0.0184407792985439,100.0,47.51493453979492,333.0,0.0
48,0.0,1892.0,3.921025514602661,36.99,36.304542541503906,1605.0,0.0,1367.0,0.0184407792985439,100.0,47.51493453979492,333.0,0.0
49,0.0,1892.0,3.921025514602661,36.99,36.304542541503906,1605.0,0.0,1367.0,0.0184407792985439,100.0,47.51493453979492,333.0,0.0
