feature_profile,stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
full,ATOMIC,0.9375,0.95,1.0,1.0,0.002915327382194531,0.007701209750993381,0.0,0.004181570520702105,2.641064853698792,0.00478588236879885,4182.570520702105,0.004181570520702105
full,BRANCH,1.0,1.0,1.0,1.0,0.002915327382194531,0.008589928396627764,0.0,0.0061940363025609745,2.9458038384439216,0.005674601014433233,6195.036302560975,0.0061940363025609745
full,CACHE,0.9375,0.95,1.0,1.0,0.002915327382194531,0.010003360021182494,0.0,0.006697240269243301,3.430465345647933,0.007088032638987963,6698.240269243302,0.006697240269243301
full,MEMBW,1.0,1.0,1.0,1.0,0.002915327382194531,0.009001329597137142,0.0,0.005296699872660057,3.0868720885386005,0.0060860022149426115,5297.699872660058,0.005296699872660057
full,TLB,1.0,1.0,1.0,1.0,0.002915327382194531,0.006640743104807424,0.0,0.004552076501614639,2.2774339895301896,0.0037254157226128933,4553.07650161464,0.004552076501614639
