stressor,dominant_mechanism_mode,compute_share,memory_io_share,thermal_power_share,scheduler_runtime_share,platform_pressure_share,feature_profile
ATOMIC,memory_io,0.2555251529306122,0.4342356156959295,0.0811165153352403,0.1914463396315717,0.03767637640664631,mixed
BRANCH,memory_io,0.22770398972521885,0.5086507101249791,0.04575308417975059,0.16914932043093603,0.04874289553911547,mixed
CACHE,memory_io,0.451516356014951,0.30915321144186614,0.06235208885536889,0.12446854712368487,0.052509796564129144,mixed
MEMBW,memory_io,0.2140029189873596,0.5309688767003363,0.05346217856323418,0.1408533104685342,0.06071271528053584,mixed
TLB,memory_io,0.2838211114600486,0.448965104999817,0.06760195103714829,0.16819650718420115,0.031415325318784895,mixed
