true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,1,1,0,1,1
TLB,0,1,0,0,3
BRANCH,0,0,3,1,0
MEMBW,0,1,1,2,0
ATOMIC,0,2,1,0,1
