true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,2,0,1,1
TLB,1,0,0,1,2
BRANCH,1,0,0,2,1
MEMBW,1,0,0,1,2
ATOMIC,1,1,0,1,1
