config,holdout_workload,case_id,workload,stressor,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,synchronization,1,peak_window,5,"0,1,2,3,4",0,0.0060629785205761405,0.006001941788095595,0.0060629785205761405,tier0,0.0032595261449145465,0.0,0.0,1.0,0.0,0.0,memory_io,0.0011329383174112735,0.3475776131382972,0.0017645278855280683,0.5413449093761842,0.0,0.0,0.00021277549687561038,0.06527804576980578,0.0001492844450995942,0.04579943171571275,tier0:cpu_times_idle_pct,0.0002471754151046164,tier0:net_sent_Pps,0.00023700294192596137,tier0:cpu_times_user_pct,0.0001625804749836665,tier0:net_recv_Pps,0.00014567907438507727,tier0:cpu_pct,0.0001259031120756477,memory_io,0.0017645278855280683,compute,0.0011329383174112735,scheduler_runtime,0.00021277549687561038,full
tier0,ALL,BROWSER__BRANCH,BROWSER,BRANCH,control_flow,1,post_persist,5,"0,1,2,3,4",23,0.027789447519374434,0.02542546993584761,0.025657271612463988,tier0,0.00806218340393031,0.0,0.0,1.0,0.0,0.0,memory_io,0.0017262669696453633,0.2141190398625525,0.004988254282767764,0.6187225014424744,0.0,0.0,0.0005789067397512354,0.071805205953144,0.0007687554117659461,0.095353252741829,tier0:net_sent_Pps,0.000749434095310006,tier0:interrupts,0.0004522270683535333,tier0:mem_used_bytes,0.0004370345887802487,tier0:mem_wired_bytes,0.0004225392225636725,tier0:net_recv_Pps,0.00041853122338441116,memory_io,0.004988254282767764,compute,0.0017262669696453633,platform_pressure,0.0007687554117659461,full
tier0,ALL,BROWSER__CACHE,BROWSER,CACHE,memory_pressure,1,peak_window,5,"540,541,542,543,544",540,0.009407557912263484,0.008821316677250918,0.009407557912263484,tier0,0.004835091216201203,0.0,0.0,0.9999999999999997,0.0,0.0,memory_io,0.001536962925916336,0.3178767177682916,0.0026125476584597873,0.5403305835690919,0.0,0.0,0.00040316438059169,0.08338299373562696,0.0002824162512333931,0.058409704926989894,tier0:cpu_times_idle_pct,0.0003149392574941994,tier0:net_recv_Bps,0.00022705882032427734,tier0:net_recv_Pps,0.00021250753773038517,tier0:interrupts,0.00021248401834916508,tier0:mem_wired_bytes,0.00020099593875654167,memory_io,0.0026125476584597873,compute,0.001536962925916336,scheduler_runtime,0.00040316438059169,full
tier0,ALL,BROWSER__MEMBW,BROWSER,MEMBW,memory_pressure,1,peak_window,5,"9,10,11,12,13",9,0.01236226930466173,0.012328069808644187,0.01236226930466173,tier0,0.006579935577490739,0.0,0.0,1.0,0.0,0.0,memory_io,0.0015122969348092326,0.2298346111446197,0.004407529407957572,0.6698438542521999,0.0,0.0,0.00033207546598264953,0.0504678901596916,0.0003280337687412842,0.049853644443488616,tier0:net_sent_Pps,0.0010920278601142448,tier0:net_recv_Pps,0.00046500871218261105,tier0:net_recv_Bps,0.0003217958110488963,tier0:interrupts,0.00029018196720854116,tier0:net_sent_Bps,0.0002804843980070613,memory_io,0.004407529407957572,compute,0.0015122969348092326,scheduler_runtime,0.00033207546598264953,full
tier0,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,benign,0,peak_window_backfill,3,"936,938,939",939,0.0052014805975895955,0.00519145735710261,0.0052014805975895955,tier0,0.00219796197924183,0.0,0.0,0.9999999999999998,0.0,0.0,compute,0.0009342259859265013,0.42504192281285735,0.0008173629787314206,0.3718731199405749,0.0,0.0,0.00013503682022998574,0.061437286679802174,0.0003113361943539229,0.14164767056676558,tier0:cpu_times_idle_pct,0.0002915676138309553,tier0:net_sent_Bps,0.00013111827852569746,tier0:net_sent_Pps,0.00012200243718215113,tier0:pids_count,0.00010765908241470404,tier0:load15,0.00010581960734405046,compute,0.0009342259859265013,memory_io,0.0008173629787314206,platform_pressure,0.0003113361943539229,full
tier0,ALL,BROWSER__TLB,BROWSER,TLB,memory_pressure,1,peak_window,5,"163,164,165,166,167",163,0.011007401108103646,0.010966859626975248,0.011007401108103646,tier0,0.005606136125574716,0.0,0.0,0.9999999999999997,0.0,0.0,memory_io,0.0013407872140582004,0.2391642272012702,0.0037324218611533354,0.6657743903374631,0.0,0.0,0.0004096179270386507,0.07306599730427672,0.00012330912332452994,0.02199538515698971,tier0:net_sent_Pps,0.00038741750226987194,tier0:net_recv_Pps,0.00035132519222944833,tier0:net_recv_Bps,0.00032192518230655286,tier0:cpu_times_idle_pct,0.00031530478731772976,tier0:interrupts,0.00030124302221840244,memory_io,0.0037324218611533354,compute,0.0013407872140582004,scheduler_runtime,0.0004096179270386507,full
tier0,ALL,PY_AI__ATOMIC,PY_AI,ATOMIC,synchronization,1,peak_window,5,"339,340,341,342,343",339,0.01319201066963746,0.013145577586843094,0.01319201066963746,tier0,0.003952684087146536,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0012186225158603904,0.30830253291001575,0.0021949582349943876,0.5553082883937077,0.0,0.0,0.000311706243043615,0.0788593867284338,0.00022739709324814277,0.057529791967842796,tier0:cpu_times_idle_pct,0.0002906038730065233,tier0:mem_used_bytes,0.0002894250627373274,tier0:interrupts,0.0002125614065939922,tier0:mem_wired_bytes,0.00020663917002934106,tier0:mem_active_bytes,0.00019784103424384515,memory_io,0.0021949582349943876,compute,0.0012186225158603904,scheduler_runtime,0.000311706243043615,full
tier0,ALL,PY_AI__BRANCH,PY_AI,BRANCH,control_flow,1,peak_window,5,"547,548,549,550,551",547,0.009782769903008661,0.009765916471993156,0.009782769903008661,tier0,0.005686219178499543,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0017072083476115734,0.3002361136670192,0.00337591663815,0.5937014617577269,0.0,0.0,0.00025600617919168826,0.045022214437263765,0.0003470880135462822,0.061040210137990214,tier0:swap_sin_bytes,0.0003367682721258951,tier0:net_recv_Pps,0.0002876016920768763,tier0:net_recv_Bps,0.00028151521391631275,tier0:net_sent_Pps,0.000255068519668057,tier0:cpu_times_idle_pct,0.0002529493914574538,memory_io,0.00337591663815,compute,0.0017072083476115734,platform_pressure,0.0003470880135462822,full
tier0,ALL,PY_AI__CACHE,PY_AI,CACHE,memory_pressure,1,peak_window,5,"730,731,732,733,734",730,0.006231470545212965,0.006112886244986817,0.006231470545212965,tier0,0.004028680658285593,0.0,0.0,0.9999999999999998,0.0,0.0,compute,0.0017501543903887737,0.43442370811628245,0.001716930652924535,0.4261769046879916,0.0,0.0,0.00027555465613303713,0.06839823741460299,0.00028604095883924736,0.07100114978112267,tier0:cpu_times_idle_pct,0.0002633156495514701,tier0:net_sent_Bps,0.0002120787266974198,tier0:cpu_times_user_pct,0.0001956130454894907,tier0:cpu_pct,0.0001894047733925977,tier0:net_sent_Pps,0.0001851009220399124,compute,0.0017501543903887737,memory_io,0.001716930652924535,platform_pressure,0.00028604095883924736,full
tier0,ALL,PY_AI__MEMBW,PY_AI,MEMBW,memory_pressure,1,peak_window,5,"764,765,766,767,768",764,0.009975548136389085,0.009933223945891141,0.009975548136389085,tier0,0.005946819172882195,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0016110024680870553,0.2709015393360723,0.0038502971011821372,0.64745488121443,0.0,0.0,0.00033922077657855764,0.05704238967369682,0.0001462988270344461,0.024601189775800877,tier0:swap_sin_bytes,0.0003573654381195102,tier0:net_recv_Pps,0.00031662111468374975,tier0:net_sent_Pps,0.00030795982789269923,tier0:net_recv_Bps,0.00030276342455338946,tier0:net_sent_Bps,0.0002838080166960274,memory_io,0.0038502971011821372,compute,0.0016110024680870553,scheduler_runtime,0.00033922077657855764,full
