true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,3,0,1,0
TLB,1,0,1,1,1
BRANCH,1,1,2,0,0
MEMBW,1,0,1,1,1
ATOMIC,1,1,1,0,1
