stressor,dominant_mechanism_mode,compute_share,memory_io_share,thermal_power_share,scheduler_runtime_share,platform_pressure_share,feature_profile
ATOMIC,compute,0.3343324597230274,0.32489407571943985,0.1010806513581872,0.13184863270226693,0.10784418049707875,full
BRANCH,memory_io,0.30128144756431163,0.3809062270402812,0.07407395987865564,0.16312706852220216,0.0806112969945492,full
CACHE,compute,0.44697214013898307,0.3145248549397463,0.06722150313149851,0.10132044316756482,0.06996105862220725,full
MEMBW,memory_io,0.30917468017272604,0.3647088444034446,0.09781572874889702,0.1281599755078886,0.10014077116704373,full
TLB,compute,0.33055192433457314,0.3413308517696755,0.10642714539941844,0.13314808527754668,0.08854199321878635,full
