true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,2,1,0,1,0
TLB,0,1,0,0,1,2
BRANCH,0,1,1,0,1,1
MEMBW,0,1,0,1,1,1
ATOMIC,0,2,0,0,1,1
