true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,3,0,0,1
TLB,2,0,1,0,1
BRANCH,1,1,1,0,1
MEMBW,1,0,0,1,2
ATOMIC,0,0,3,0,1
