true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,0,0,0,0
TLB,0,0,0,0,0
BRANCH,0,0,0,0,0
MEMBW,0,0,0,0,0
ATOMIC,0,0,0,0,0
