true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,1,1,0,0,2,0
TLB,0,0,0,0,1,3
BRANCH,1,0,0,0,0,3
MEMBW,1,0,0,0,0,3
ATOMIC,1,1,0,0,1,1
