true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,1,0,0,1,2
TLB,1,0,1,0,2
BRANCH,0,0,1,2,1
MEMBW,0,0,0,3,1
ATOMIC,0,1,0,0,3
