feature_profile,profile_label,config,config_label,exact_top1_acc,exact_top2_acc,exact_macro_f1,selective_method,selective_coverage,selective_top1_acc,selective_top2_acc,selective_macro_f1,mechanism_top1_coverage,mechanism_top2_coverage,mechanism_top3_coverage,strong_claims
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,0.5,0.8,0.5285714285714286,hierarchical_whole_run,0.45,0.5555555555555556,0.8888888888888888,0.4933333333333333,0.4415300149720779,0.7029047575318197,0.8845996555441499,Exact Top-2 shortlist 0.80; Confidence-gated Top-2 0.89 at 0.45 coverage; Mechanism Top-3 coverage 0.88
full,Full,tier0_tier1_tier2,Tier-0/1/2,0.3,0.5,0.2589743589743589,hierarchical_post_alert,0.75,0.2666666666666666,0.5333333333333333,0.2266666666666666,0.39838272751545223,0.6901328395717712,0.824905591476526,Mechanism Top-3 coverage 0.82
