feature_profile,profile_label,config,config_label,n_features,base_roc_auc,base_pr_auc,holdout_mean_pr_auc,holdout_worst_pr_auc,detection_rate,benign_alert_rate,median_ttd_s,best_diag_method,top1_acc,top2_acc,macro_f1,best_selective_method,selective_coverage,selective_abstain_rate,selective_top1_acc,selective_top2_acc,selective_macro_f1,mechanism_top1_coverage,mechanism_top2_coverage,mechanism_top3_coverage
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,64,0.85,0.962015975295774,0.8866666666666666,0.81,0.85,0.0,72.0,feature_whole_run,0.5,0.8,0.5285714285714286,hierarchical_whole_run,0.45,0.55,0.5555555555555556,0.8888888888888888,0.4933333333333333,0.4415300149720779,0.7029047575318197,0.8845996555441499
full,Full,tier0_tier1_tier2,Tier-0/1/2,75,0.9625,0.9924874686716793,0.8075,0.71,0.95,0.0,60.0,hierarchical_post_alert,0.3,0.5,0.2589743589743589,hierarchical_post_alert,0.75,0.25,0.2666666666666666,0.5333333333333333,0.2266666666666666,0.3983827275154522,0.6901328395717712,0.824905591476526
