feature_profile,profile_label,config_label,roc_auc,pr_auc,precision,recall,f1_score,observed_crashes,warning_recall_before_crash,median_lead_time_s,false_alarm_rate_runs,retrospective_alignment_cases,retrospective_crashes,median_retrospective_offset_s,min_retrospective_offset_s,max_retrospective_offset_s
mixed,Mixed,Tier-0/1/2,0.85,0.9591804774602762,1.0,0.75,0.8571428571428571,0,,,,8,4,139.5317715,122.47863899999999,169.779384
full,Full,Tier-0/1/2,0.95,0.9897096908939014,1.0,0.95,0.9743589743589745,0,,,,8,4,89.98780749999999,68.56656699999999,123.779384
