feature_profile,config,n_cases,n_features,fit_eval_seconds,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr_run_alert,tpr_run_alert,median_nominal_score,median_anomaly_score,median_nominal_score_wc,median_anomaly_score_wc,benign_run_alert_rate,anomaly_detect_rate,median_time_to_detect_s,detect_within_120s,detect_within_300s,detect_within_600s,top1_acc,top2_acc,macro_f1,balanced_acc,mean_margin_to_second,mean_pr_auc,worst_pr_auc,mean_roc_auc,pooled_pr_auc,pooled_roc_auc,mean_fpr,mean_tpr,runtime_s_profile,global_dir,holdout_dir,config_label,diagnosis_source,diagnosis_path,score_global,score_holdout,score_alert,score_diagnosis,score_overall
mixed,tier0,24,46,2.2640592079842463,0.8125,0.9402320647618636,1.0,1.0000000000000002,0.0,0.4,0.0089918413812273,0.018790035682216,0.0,0.0100561644270966,0.0,0.4,45.0,0.25,0.25,0.3,0.3,0.55,0.2389610389610389,0.3,0.0268741849175125,0.8241666666666667,0.71,0.35,0.7746418846872305,0.3624999999999999,0.1666666666666666,0.7500000000000001,30.10418049999862,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_holdout,Tier-0,feature-level (diagnosis-weighted),/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full/stressor_feature_diagnosis_metrics.csv,0.15,0.0,0.15000000000000002,0.0,0.0675
mixed,tier0_tier1,24,57,2.7811407500412315,0.8375,0.957015975295774,1.0,1.0000000000000002,0.0,0.75,4.361581824991517e-05,0.0001075493936416,0.0,5.161052462937333e-05,0.0,0.75,84.0,0.4,0.4,0.6,0.4,0.7,0.3478632478632478,0.4,0.0182871664554313,0.8491666666666666,0.71,0.4,0.8202130240741595,0.4,0.1666666666666666,0.7500000000000001,30.10418049999862,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_holdout,Tier-0/1,feature-level (diagnosis-weighted),/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full/stressor_feature_diagnosis_metrics.csv,0.5,0.45,0.375,0.5,0.4525
mixed,tier0_tier1_tier2,24,64,3.0904605829855427,0.85,0.9591804774602762,1.0,1.0000000000000002,0.0,0.75,4.628584238222858e-05,0.0001155208805293,0.0,5.656879610139189e-05,0.0,0.75,45.0,0.45,0.45,0.7,0.55,0.75,0.5732600732600732,0.55,0.0168914120395129,0.8741666666666666,0.81,0.45,0.8065009028620382,0.3625,0.1666666666666666,0.7500000000000001,30.10418049999862,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_holdout,Tier-0/1/2,feature-level (diagnosis-weighted),/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full/stressor_feature_diagnosis_metrics.csv,0.8500000000000001,0.9,0.525,1.0,0.8225
full,tier0,24,46,2.1143672090256587,0.8,0.9318987314285302,1.0,1.0000000000000002,0.0,0.3,0.0049031167953163,0.0108821091922573,0.0,0.006095456152351,0.0,0.3,91.5,0.2,0.2,0.25,0.4,0.6,0.3224242424242424,0.4,0.0252617153503272,0.7825,0.71,0.25,0.7671418846872305,0.35,0.1666666666666666,0.7500000000000001,31.728051000012783,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full_holdout,Tier-0,feature-level (diagnosis-weighted),/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full/stressor_feature_diagnosis_metrics.csv,0.3,0.2,0.0,1.0,0.265
full,tier0_tier1,24,64,2.8757187500596046,0.7874999999999999,0.9414225409523396,1.0,1.0000000000000002,0.0,0.55,0.0069502043422839,0.0230130849810925,0.0,0.0105838340964036,0.0,0.55,91.0,0.3,0.35,0.4,0.2,0.3,0.1857142857142857,0.2,0.0137043501843743,0.7825,0.71,0.25,0.7218256731210191,0.2249999999999999,0.1666666666666666,0.7500000000000001,31.728051000012783,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full_holdout,Tier-0/1,feature-level (diagnosis-weighted),/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full/stressor_feature_diagnosis_metrics.csv,0.35000000000000003,0.0,0.4,0.0,0.16750000000000004
full,tier0_tier1_tier2,24,75,3.3533612081082538,0.95,0.9897096908939014,1.0,1.0000000000000002,0.0,0.95,0.0028749036103666,0.0082263724605288,0.0,0.0044692156955664,0.0,0.95,91.0,0.6,0.6,0.7,0.3,0.4,0.2,0.3,0.0253124417530615,0.8075,0.71,0.3,0.7503971016924476,0.2375,0.1666666666666666,0.8333333333333334,31.728051000012783,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full_holdout,Tier-0/1/2,feature-level (diagnosis-weighted),/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full/stressor_feature_diagnosis_metrics.csv,0.8500000000000001,0.6,0.65,0.5,0.6625000000000001
