config,n_features,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fit_eval_seconds,benign_run_alert_rate,benign_run_keep_rate,anomaly_detect_rate,median_time_to_detect_s,top1_acc,top2_acc,macro_f1,balanced_acc,mean_margin_to_second,feature_profile,diagnosis_source,profile_label,config_label
tier0_tier1_tier2,64,0.85,0.9591804774602762,1.0,1.0000000000000002,3.0637446250766516,0.0,1.0,0.75,45.0,0.55,0.75,0.5732600732600732,0.55,0.0168914120395129,mixed,feature-level (diagnosis-weighted),Mixed,Tier-0/1/2
tier0_tier1_tier2,75,0.95,0.9897096908939014,1.0,1.0000000000000002,3.395410542143509,0.0,1.0,0.95,91.0,0.3,0.4,0.2,0.3,0.0253124417530615,full,feature-level (diagnosis-weighted),Full,Tier-0/1/2
