config,compute_share,memory_io_share,thermal_power_share,scheduler_runtime_share,platform_pressure_share,feature_profile,profile_label,config_label
tier0,0.3030158735178566,0.5722249919585894,0.0,0.062191338179015135,0.0625677963445388,mixed,Mixed,Tier-0
tier0_tier1,0.3456754988224479,0.47173276881528114,0.08121744359302698,0.051280127831027936,0.05009416093821593,mixed,Mixed,Tier-0/1
tier0_tier1_tier2,0.30173364088402377,0.4055034378989668,0.06970127614689933,0.1800214494955901,0.043040195574519796,mixed,Mixed,Tier-0/1/2
tier0,0.2771614207779943,0.5956848778064605,0.0,0.0640405765528615,0.06311312486268353,full,Full,Tier-0
tier0_tier1,0.3330289313095912,0.4501501842259386,0.11047032189967262,0.05254722442323352,0.05380333814156376,full,Full,Tier-0/1
tier0_tier1_tier2,0.3393520100433566,0.3573632101965775,0.08420215994067418,0.12017385227758126,0.09890876754181024,full,Full,Tier-0/1/2
