config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.4,0.55,0.45,0.4,0.39603174603174607,0.65,0.35,0.38461538461538464,0.5384615384615384,0.3,0.27142857142857146,-0.013256535639107999,0.004914025745827499,0.013892244377779797,0.016291908200851826,0.014966553978123532,-0.019755550128238628,full
tier0_tier1,20,0.15,0.3,0.45,0.15,0.1288888888888889,0.3,0.7,0.16666666666666666,0.3333333333333333,0.2,0.13333333333333333,0.02291037835462554,0.045398713395106816,0.020788839861076484,0.01762884617158598,0.013577619561990929,0.3998514573579968,full
tier0_tier1_tier2,20,0.2,0.3,0.35,0.2,0.16666666666666666,0.6,0.4,0.08333333333333333,0.25,0.06666666666666667,0.04444444444444444,-0.005288663522143555,-0.0027604394744137895,0.021024157027786382,0.017478090962731854,0.009744146747335383,-0.13050618262462538,full
