true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,1,0,0,0,2,1
TLB,1,0,0,0,1,2
BRANCH,0,0,0,0,2,2
MEMBW,1,0,0,0,1,2
ATOMIC,0,1,0,0,2,1
