stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
ATOMIC,0.9375,0.95,1.0,1.0,0.0028749036103666355,0.007733349302840852,0.0,0.003713439196182819,2.689363188307565,0.004858445692474216,3714.439196182819,0.003713439196182819
BRANCH,1.0,1.0,1.0,1.0,0.0028749036103666355,0.008158040374308211,0.0,0.005778588714172133,2.837035408592172,0.005283136763941576,5779.588714172133,0.005778588714172133
CACHE,0.9375,0.95,1.0,1.0,0.0028749036103666355,0.010061499571147743,0.0,0.006662487102108221,3.4989001491134544,0.007186595960781108,6663.487102108222,0.006662487102108221
MEMBW,1.0,1.0,1.0,1.0,0.0028749036103666355,0.008853575797844914,0.0,0.005351468850162253,3.0788847602288327,0.0059786721874782785,5352.468850162253,0.005351468850162253
TLB,0.875,0.8875,1.0,1.0,0.0028749036103666355,0.006510031903759897,0.0,0.00425583875569478,2.26399517712968,0.0036351282933932616,4256.83875569478,0.00425583875569478
