config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second
tier0,20,0.3,0.5,0.3,0.238974358974359,0.02850192899855817,0.025861526069862605
tier0_tier1,20,0.2,0.45,0.2,0.19714285714285715,0.01811722888883325,0.018159035072953127
tier0_tier1_tier2,20,0.15,0.3,0.15,0.1282051282051282,0.016501460612896816,0.01710387044588038
