config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.25,0.6,0.4,0.25,0.1986813186813187,0.7,0.3,0.2857142857142857,0.6428571428571429,0.26666666666666666,0.22380952380952382,-0.0069009216735517786,0.0053338570913798455,0.014216672353907101,0.010873163781946958,0.010474823129139037,-0.05760316808787492,full
tier0_tier1,20,0.25,0.45,0.5,0.25,0.2582051282051282,0.6,0.4,0.25,0.5,0.26666666666666666,0.2571428571428571,-0.008754972631255287,0.002232203297944685,0.023534816175966124,0.024354141593186572,0.013680501562324275,0.01878778668443484,full
tier0_tier1_tier2,20,0.3,0.5,0.4,0.3,0.26666666666666666,0.75,0.25,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.24000000000000005,0.00021159661583865092,0.00962343303714816,0.02008092301458613,0.016016598134674296,0.00679037725031564,-0.12729828923740366,full
