case_id,workload,stressor,card_status,first_warning_s,crash_time_s,lead_time_s,warning_source,crash_source,figure_path,markdown_path
PY_AI__CACHE,PY_AI,CACHE,Warning before crash,91.0,214.779384,123.779384,first_persistent_alert,"diagnostic_report,screenshot",/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/figures/PY_AI__CACHE.png,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/cards/PY_AI__CACHE.md
PY_STATS__ATOMIC,PY_STATS,ATOMIC,Warning before crash,91.0,194.496976,103.496976,first_persistent_alert,"diagnostic_report,screenshot",/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/figures/PY_STATS__ATOMIC.png,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/cards/PY_STATS__ATOMIC.md
BROWSER__BRANCH,BROWSER,BRANCH,Warning before crash,91.0,167.478639,76.47863899999999,first_persistent_alert,"diagnostic_report,screenshot",/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/figures/BROWSER__BRANCH.png,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/cards/BROWSER__BRANCH.md
VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,Warning before crash,106.0,174.566567,68.56656699999999,first_persistent_alert,"diagnostic_report,screenshot",/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/figures/VIDEO_SW__MEMBW.png,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_itc_paper/full/crash_evidence_cards_pilot_cases/cards/VIDEO_SW__MEMBW.md
