workload,base_stressor,case_id,mode,feature_name,tier,column_name,original_anomaly_warning_s,crash_pilot_anomaly_warning_s,crash_time_s,feature_first_divergence_s,feature_value_at_warning,feature_value_pre_crash,nominal_median,nominal_scale,peak_abs_z,reference_warning_s,pilot_warning_s,feature_peak_z_time_s,pilot_key,pilot_label,pilot_order
VIDEO_SW,MEMBW,VIDEO_SW__MEMBW_CONTROL,CONTROL,tier0:cpu_times_system_pct,tier0,cpu_times_system_pct,45.0,62.0,,0.2070851325988769,10.0,,7.7,2.52042,14.680093000372953,45.0,62.0,0.814946174621582,video_membw,VIDEO_SW / MEMBW,1
VIDEO_SW,MEMBW,VIDEO_SW__MEMBW_CONTROL,CONTROL,tier0:soft_interrupts,tier0,soft_interrupts,45.0,62.0,,56.19877910614014,2728509898.0,,2723213712.0,1746212.2104,13.498430408180818,45.0,62.0,244.43863010406497,video_membw,VIDEO_SW / MEMBW,1
VIDEO_SW,MEMBW,VIDEO_SW__MEMBW_CONTROL,CONTROL,tier0:uptime_s,tier0,uptime_s,45.0,62.0,,103.42316699028017,406657.5705358982,,406471.62523067,90.90475306034088,4.055414794283082,45.0,62.0,244.64366626739505,video_membw,VIDEO_SW / MEMBW,1
VIDEO_SW,MEMBW,VIDEO_SW__MEMBW_CONTROL,CONTROL,tier1_alt:gpu_temp_c,tier1_alt,gpu_temp_c,45.0,62.0,,0.0,59.093299865722656,,56.48534393310547,0.250472664642334,26.196138550073044,45.0,62.0,164.0,video_membw,VIDEO_SW / MEMBW,1
PY_AI,CACHE,PY_AI__CACHE_ABORT,ABORT,tier0:load15,tier0,load15,45.0,62.0,214.779384,32.689886808395386,4.96337890625,4.7978515625,5.64697265625,0.2388955078125,3.854816885978359,45.0,62.0,227.8810977935791,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_ABORT,ABORT,tier0:load5,tier0,load5,45.0,62.0,214.779384,,4.02880859375,4.01220703125,4.576171875,0.350380078125,2.03462088602444,45.0,62.0,227.8810977935791,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_ABORT,ABORT,tier0:soft_interrupts,tier0,soft_interrupts,45.0,62.0,214.779384,9.894371032714844e-05,2150695858.0,2152684173.0,2143755826.5,1364000.8956,7.048802923088052,45.0,62.0,244.96081399917605,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_ABORT,ABORT,tier0:swap_sout_bytes,tier0,swap_sout_bytes,45.0,62.0,214.779384,9.894371032714844e-05,12633014272.0,12643549184.0,12569083904.0,6680002.56,12.187434850324369,45.0,62.0,242.1266758441925,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_ABORT,ABORT,tier0:uptime_s,tier0,uptime_s,45.0,62.0,214.779384,9.894371032714844e-05,376675.6862771511,376823.4842829704,376243.6429195404,90.8247445920751,6.772021482341772,45.0,62.0,244.96081399917605,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_ABORT,ABORT,tier2:max_core_id,tier2,max_core_id,45.0,62.0,214.779384,1.2,11.0,11.0,11.0,1.2151471675846053,3.2917823508990716,45.0,62.0,1.2,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_CONTROL,CONTROL,tier0:load15,tier0,load15,45.0,62.0,,,5.302734375,,5.64697265625,0.2388955078125,2.123623936655098,45.0,62.0,243.83218717575073,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_CONTROL,CONTROL,tier0:load5,tier0,load5,45.0,62.0,,,4.32568359375,,4.576171875,0.350380078125,1.576134398694275,45.0,62.0,13.672356128692629,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_CONTROL,CONTROL,tier0:soft_interrupts,tier0,soft_interrupts,45.0,62.0,,90.49338221549988,2146702279.0,,2143755826.5,1364000.8956,4.317970405297438,45.0,62.0,244.8541431427002,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_CONTROL,CONTROL,tier0:swap_sout_bytes,tier0,swap_sout_bytes,45.0,62.0,,10.20033311843872,12591644672.0,,12569083904.0,6680002.56,9.05289233901132,45.0,62.0,209.45173501968384,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_CONTROL,CONTROL,tier0:uptime_s,tier0,uptime_s,45.0,62.0,,103.16962099075316,376429.63322496414,,376243.6429195404,90.8247445920751,4.060284518787286,45.0,62.0,244.8541431427002,py_ai_cache,PY_AI / CACHE,2
PY_AI,CACHE,PY_AI__CACHE_CONTROL,CONTROL,tier2:max_core_id,tier2,max_core_id,45.0,62.0,,0.0,3.0,,11.0,1.2151471675846053,6.583564701798143,45.0,62.0,0.0,py_ai_cache,PY_AI / CACHE,2
PY_STATS,ATOMIC,PY_STATS__ATOMIC_ABORT,ABORT,tier0:mem_used_bytes,tier0,mem_used_bytes,45.0,62.0,196.682946,1.2403998374938965,7087570944.0,7346634752.0,7462846464.0,193052073.984,6.181636733407517,45.0,62.0,1.2403998374938965,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_ABORT,ABORT,tier0:soft_interrupts,tier0,soft_interrupts,45.0,62.0,196.682946,0.0010640621185302,3162658257.0,3164465224.0,3155792377.0,1403656.7391,6.793676640710826,45.0,62.0,244.1004729270935,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_ABORT,ABORT,tier0:swap_sin_bytes,tier0,swap_sin_bytes,45.0,62.0,196.682946,0.0010640621185302,2248554430464.0,2249482747904.0,2243803758592.0,719922094.0799999,8.795518809701038,45.0,62.0,243.899386882782,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_ABORT,ABORT,tier0:swap_sout_bytes,tier0,swap_sout_bytes,45.0,62.0,196.682946,0.0010640621185302,100606951424.0,100612308992.0,100577558528.0,472.7682305551233,73608.19477894777,45.0,62.0,193.9139049053192,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_ABORT,ABORT,tier0:swap_total_bytes,tier0,swap_total_bytes,45.0,62.0,196.682946,15.59043788909912,9663676416.0,9663676416.0,10737418240.0,1.0,1073741824.0,45.0,62.0,15.59043788909912,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_ABORT,ABORT,tier2:max_core_id,tier2,max_core_id,45.0,62.0,196.682946,192.2,11.0,8.0,10.0,1.4826,4.721435316336167,45.0,62.0,209.0,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_CONTROL,CONTROL,tier0:mem_used_bytes,tier0,mem_used_bytes,45.0,62.0,,1.430839776992798,7492665344.0,,7462846464.0,193052073.984,3.334475236217102,45.0,62.0,7.152565717697144,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_CONTROL,CONTROL,tier0:soft_interrupts,tier0,soft_interrupts,45.0,62.0,,107.6613118648529,3158646376.0,,3155792377.0,1403656.7391,4.126250270927082,45.0,62.0,246.84983086586,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_CONTROL,CONTROL,tier0:swap_sin_bytes,tier0,swap_sin_bytes,45.0,62.0,,78.81006288528442,2245457854464.0,,2243803758592.0,719922094.0799999,5.455438292971135,45.0,62.0,246.0217788219452,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_CONTROL,CONTROL,tier0:swap_sout_bytes,tier0,swap_sout_bytes,45.0,62.0,,0.8190658092498779,100580114432.0,,100577558528.0,472.7682305551233,54617.00328230776,45.0,62.0,201.6948988437653,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_CONTROL,CONTROL,tier0:swap_total_bytes,tier0,swap_total_bytes,45.0,62.0,,,10737418240.0,,10737418240.0,1.0,0.0,45.0,62.0,0.0014748573303222,py_stats_atomic,PY_STATS / ATOMIC,3
PY_STATS,ATOMIC,PY_STATS__ATOMIC_CONTROL,CONTROL,tier2:max_core_id,tier2,max_core_id,45.0,62.0,,206.0,11.0,,10.0,1.4826,2.697963037906381,45.0,62.0,206.0,py_stats_atomic,PY_STATS / ATOMIC,3
