config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.3,0.65,0.45,0.3,0.22575757575757574,0.9,0.1,0.2777777777777778,0.6666666666666666,0.26666666666666666,0.20353535353535354,0.004741677322698092,0.017498738488633286,0.012341506795472102,0.010158680307771659,0.01143229423209208,-0.06848721763593987,mixed
tier0_tier1,20,0.15,0.45,0.4,0.15,0.12000000000000002,0.6,0.4,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.13333333333333333,0.009997744762839562,0.011176921365282172,0.01733378139885245,0.011809641002762633,0.01145136275610177,0.061167246723722854,mixed
tier0_tier1_tier2,20,0.2,0.4,0.3,0.2,0.18666666666666668,0.4,0.6,0.0,0.125,0.0,0.0,-0.0011411535941072595,0.006517318872097291,0.018341977211922843,0.01691501088655567,0.01145142066398357,0.014200974727130791,mixed
