true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,3,0,0,1,0
TLB,1,1,1,0,1
BRANCH,1,0,3,0,0
MEMBW,2,0,2,0,0
ATOMIC,1,0,1,0,2
