true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,2,0,2,0
TLB,0,0,3,0,1
BRANCH,1,0,1,1,1
MEMBW,1,0,1,1,1
ATOMIC,1,1,1,0,1
