stressor,tier0_share,tier1_alt_share,tier2_share,dominant_tier_mode
ATOMIC,0.6813636356642303,0.18943577295639133,0.12920059137937823,tier0
BRANCH,0.7363562812663864,0.141912905198163,0.12173081353545054,tier0
CACHE,0.5480377461759337,0.1419511681166391,0.31001108570742725,tier0
MEMBW,0.731516766039179,0.1581098409051054,0.11037339305571572,tier0
TLB,0.6722014023932654,0.19423539533443065,0.13356320227230395,tier0
