feature_profile,profile_label,config,config_label,case_id,workload,stressor,label,run_score,run_score_wc,run_alert,first_block_alert_s,time_to_detect_s,n_blocks,warning_source,first_warning_s,first_warning_window_start_s,first_warning_window_end_s,first_warning_block_idx,warning_dominant_tier,warning_dominant_mechanism,warning_top_feature_1,warning_top_feature_score_1,warning_top_feature_2,warning_top_feature_score_2,warning_threshold,run_duration_s,warning_available,workload_crash,stressor_crash,run_start_utc,run_end_utc,crash_time_utc,crash_time_s,monitor_duration_s,crash_outcome_observed,crash_detected,crash_source,crash_kind,diagnostic_report_path,system_log_path,screenshot_path,evidence_note,lead_time_s,warning_before_crash,late_warning_after_crash,warning_without_observed_crash,missing_warning_before_crash,workload_focus,stressor_focus,pilot_name,pilot_case_id_original,case_dir,raw_log_path,crash_window_path,report_path,crash_time_s_focus,crash_source_focus,crash_kind_focus,crash_detected_focus,crash_outcome_observed_focus,evidence_note_focus
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__BRANCH,BROWSER,BRANCH,1,0.00023476003657,0.0001942772250729,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:swap_sout_bytes,6.955119394139914e-05,tier0:uptime_s,6.7403336992463375e-06,9.158281112622878e-05,999.0,1,BROWSER,BRANCH,2026-03-31 20:33:09+00:00,2026-03-31 21:43:27+00:00,2026-03-31 20:35:56+00:00,167.478639,4218.570151,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT/diagnostic_reports/python3.11-2026-03-31-110319.ips,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/logs/BROWSER__BRANCH_ABORT/tier2_collect.log,,,122.478639,1,0,0,0,BROWSER,BRANCH,data_workload_crash_pilot_real_browser_branch,BROWSER__BRANCH_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/logs/BROWSER__BRANCH_ABORT/tier2_collect.log,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT/diagnostic_reports/python3.11-2026-03-31-110319.ips,167.478639,"diagnostic_report,screenshot",system_or_app_crash,1,1,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,0.000149871184338,8.48255375335215e-06,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:uptime_s,1.332532949258118e-05,tier0:mem_inactive_bytes,5.0043810258594005e-06,9.158281112622878e-05,999.0,1,VIDEO_SW,MEMBW,2026-03-31 22:05:23+00:00,2026-03-31 22:09:31+00:00,2026-03-31 22:08:17+00:00,174.566567,248.470156,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT/diagnostic_reports/python3.11-2026-03-31-172455.ips,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/logs/VIDEO_SW__MEMBW_ABORT/tier2_collect.log,,,129.566567,1,0,0,0,VIDEO_SW,MEMBW,data_workload_crash_pilot_real_video_membw,VIDEO_SW__MEMBW_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/logs/VIDEO_SW__MEMBW_ABORT/tier2_collect.log,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT/diagnostic_reports/python3.11-2026-03-31-172455.ips,174.566567,"diagnostic_report,screenshot",system_or_app_crash,1,1,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,1,282.5633348343998,282.5632910751797,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier1_alt,compute,tier1_alt:gpu_avg_freq_mhz,102.05298871873153,tier1_alt:cpu_avg_freq_mhz,50.40453045301829,9.158281112622878e-05,999.0,1,PY_AI,CACHE,2026-03-31 15:15:06+00:00,2026-03-31 16:04:08+00:00,2026-03-31 15:18:40+00:00,214.779384,2942.701153,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/diagnostic_reports/python3.11-2026-03-31-063245.ips,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/logs/PY_AI__CACHE_ABORT/tier2_collect.log,,,169.779384,1,0,0,0,PY_AI,CACHE,data_workload_crash_pilot_real_py_ai_cache,PY_AI__CACHE_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/logs/PY_AI__CACHE_ABORT/tier2_collect.log,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/diagnostic_reports/python3.11-2026-03-31-063245.ips,214.779384,"diagnostic_report,screenshot",system_or_app_crash,1,1,
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,0.0001799344410357,0.0001311219764046,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:uptime_s,3.308698854185893e-05,tier0:mem_inactive_bytes,8.321267733073649e-06,9.158281112622878e-05,999.0,1,PY_STATS,ATOMIC,2026-04-01 02:36:35+00:00,2026-04-01 02:40:46+00:00,2026-04-01 02:39:49+00:00,194.496976,251.182787,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/diagnostic_reports/python3.11-2026-03-31-215824.ips,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/logs/PY_STATS__ATOMIC_ABORT/tier2_collect.log,,,149.496976,1,0,0,0,PY_STATS,ATOMIC,data_workload_crash_pilot_real_py_stats_atomic,PY_STATS__ATOMIC_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/logs/PY_STATS__ATOMIC_ABORT/tier2_collect.log,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/diagnostic_reports/python3.11-2026-03-31-215824.ips,196.682946,"diagnostic_report,screenshot",system_or_app_crash,1,1,
