feature_profile,profile_label,config,config_label,case_id,workload,stressor,label,run_score,run_score_wc,run_alert,first_block_alert_s,time_to_detect_s,n_blocks,warning_source,first_warning_s,first_warning_window_start_s,first_warning_window_end_s,first_warning_block_idx,warning_dominant_tier,warning_dominant_mechanism,warning_top_feature_1,warning_top_feature_score_1,warning_top_feature_2,warning_top_feature_score_2,warning_threshold,run_duration_s,warning_available,crash_outcome_observed,crash_detected,crash_time_s,monitor_duration_s,crash_source,crash_kind,diagnostic_report_path,system_log_path,screenshot_path,evidence_note,lead_time_s,warning_before_crash,late_warning_after_crash,warning_without_observed_crash,missing_warning_before_crash
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,1,294.0127149415781,294.0126737810594,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier1_alt,compute,tier1_alt:gpu_avg_freq_mhz,92.45463715991066,tier1_alt:cpu_avg_freq_mhz,51.544270347604034,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__MEMBW,PY_AI,MEMBW,1,0.0002626304046956,0.0002214698859934,1,469.0,469.0,970,first_persistent_alert,469.0,439.0,469.0,439.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,7.28663180782722e-05,tier0:uptime_s,3.3494025404218266e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__TLB,PY_AI,TLB,1,0.0001326268444183,9.146632571614632e-05,1,972.0,972.0,970,first_persistent_alert,972.0,942.0,972.0,942.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,6.842285446793067e-05,tier0:uptime_s,3.74305454706719e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__NOMINAL,PY_AI,NOMINAL,0,4.1160518702166416e-05,0.0,0,,,970,no_detected_warning,,,,,,,,,,,,999.0,0,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,0.000167894579243,0.0001153309946575,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier0,memory_io,tier0:uptime_s,2.936561051696574e-05,tier0:mem_inactive_bytes,8.691627522867989e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__BRANCH,PY_STATS,BRANCH,1,0.0001256600930661,7.309650848071525e-05,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier0,memory_io,tier0:uptime_s,1.6982720922535483e-05,tier0:mem_free_bytes,6.576327924788762e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__CACHE,PY_STATS,CACHE,1,0.0001130908065934,6.052722200796641e-05,1,486.0,486.0,970,first_persistent_alert,486.0,456.0,486.0,456.0,tier0,thermal_power,tier1_alt:ane_power_w,4.36313293658817e-05,tier0:uptime_s,6.138241386028114e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__MEMBW,PY_STATS,MEMBW,1,0.0001539665748836,0.0001014029902982,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier0,memory_io,tier0:uptime_s,2.208270577535174e-05,tier0:mem_free_bytes,8.551099488975138e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__TLB,PY_STATS,TLB,1,9.925594984585264e-05,4.669236526037679e-05,1,351.0,351.0,970,first_persistent_alert,351.0,321.0,351.0,321.0,tier0,memory_io,tier0:uptime_s,1.6205459035310124e-05,tier0:ctx_switches,3.3716182381492755e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__NOMINAL,PY_STATS,NOMINAL,0,5.256358458547586e-05,0.0,0,,,970,no_detected_warning,,,,,,,,,,,,999.0,0,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
