feature_profile,feature_name,rank_score,disc_score,stability_score
mixed,tier0:uptime_s,3.39116434506823,36.85319138314914,0.008467349179856039
mixed,tier0:soft_interrupts,1.5972870940799269,26.846409592352384,0.003539920767235888
mixed,tier0:net_sent_Pps,0.40230267204199993,99.38597280053871,1.6385347194448555e-05
mixed,tier0:syscalls,0.3322656664775025,81.58105925621076,1.6587932317773797e-05
mixed,tier0:mem_inactive_bytes,0.2897938052731864,69.58254167500506,1.7345132367341938e-05
mixed,tier0:swap_sin_bytes,0.238433469118035,7.271280388330235,0.0010752579238105305
mixed,tier0:mem_free_bytes,0.20802628794547953,74.32890826852471,7.832870221988901e-06
mixed,tier0:swap_sout_bytes,0.1761514864523967,3.6564440526464725,0.002320891079682922
mixed,tier0:ctx_switches,0.16390654278754882,63.79959124397675,6.600195314418936e-06
mixed,tier2:unique_thread_count,0.15307272944869946,93.68288333143543,2.669778029603039e-06
mixed,tier0:swap_total_bytes,0.12279364912171366,17.26245937195588,5.059952879373067e-05
mixed,tier0:mem_percent,0.10570945166652103,24.607637671720777,1.8453884287473068e-05
mixed,tier0:mem_available_bytes,0.10260892458349292,23.851077056813764,1.8507777969977817e-05
mixed,tier0:swap_used_bytes,0.10051220865639462,13.29333798972776,5.7170177221032835e-05
mixed,tier0:load15,0.09911813973675007,10.116291363409044,9.599831866954995e-05
mixed,tier0:net_sent_Bps,0.09013345609282715,40.22156112005711,5.021739756618112e-06
mixed,tier0:mem_active_bytes,0.08595682643214815,30.424571877932358,7.982001297431996e-06
mixed,tier2:unique_process_count,0.08566211767440769,55.795382916401685,2.3571167179145193e-06
mixed,tier1_alt:cpu_usage_pct,0.07099637185291653,21.70306692491888,1.0701141126673723e-05
mixed,tier0:mem_used_bytes,0.06834119034552143,15.763295038883417,1.879624379542804e-05
mixed,tier0:load5,0.05769075883507411,10.50523270170069,3.0157903633757613e-05
mixed,tier0:swap_percent,0.05247275575775834,10.974094746369573,2.2862848325823724e-05
mixed,tier1_alt:ane_power_w,0.04412034816701281,21.908725696676594,4.055492719149004e-06
mixed,tier0:net_recv_Pps,0.04389957208898675,21.398729818814598,4.2086671800078274e-06
mixed,tier0:swap_free_bytes,0.04270198826185884,9.721397993188145,1.9294731823565135e-05
mixed,tier0:pids_count,0.03439436517143543,6.613202251847651,2.7048985803983833e-05
mixed,tier0:net_recv_Bps,0.027573524766105303,18.317510802659847,2.265956976527099e-06
mixed,tier1_alt:gpu_usage_pct,0.023488420996887586,16.919401817757784,1.92724814218569e-06
mixed,tier1_alt:cpu_power_w,0.02179121730612662,13.985956000233946,2.427608603298156e-06
mixed,tier0:load1,0.020916777257183248,9.301237382439925,5.057176212141809e-06
mixed,tier0:interrupts,0.019281644408342645,21.826468113040594,7.804070932353185e-07
mixed,tier2:avg_core_id,0.01927325192262042,6.516867803597625,8.74645716744479e-06
mixed,tier2:max_core_id,0.017978903091816656,5.1744685282493075,1.2072435210645367e-05
mixed,tier0:mem_wired_bytes,0.01794249412425406,19.986670958520932,8.059065767660767e-07
mixed,tier2:sentinel_count,0.012766557156287625,12.815087890050831,9.92440342002781e-07
mixed,tier1_alt:cpu_temp_c,0.011882051559472064,4.201353537052482,7.998423743763684e-06
mixed,tier2:samples_per_bucket,0.011322176358177656,7.91067856793031,2.0484829520366134e-06
mixed,tier2:total_weight_ns,0.01132217635815675,7.910678567915739,2.048482952036595e-06
mixed,tier0:cpu11_pct,0.010823377880213113,6.758309633902137,2.5647761843567957e-06
mixed,tier0:disk_write_IOPS,0.009003430938449951,18.407872932646768,2.392262649570957e-07
mixed,tier0:cpu_times_user_pct,0.008594197079955849,4.549156785587812,3.5690185671943074e-06
mixed,tier0:cpu_pct,0.006968403753014269,3.842421350042651,3.2889452081452256e-06
mixed,tier0:cpu7_pct,0.0066876165262309715,4.327378405473008,2.388322541309569e-06
mixed,tier1_alt:gpu_power_w,0.006624638683030768,27.89173695398136,5.641223039985537e-08
mixed,tier1_alt:gpu_temp_c,0.006071769265740145,3.752736278467275,2.6177877294197374e-06
mixed,tier0:disk_read_Bps,0.0031629230490541602,8.436136692991845,1.4056915555962082e-07
mixed,tier0:cpu5_pct,0.003103723347456094,4.216655982004478,5.417883543201653e-07
mixed,tier0:cpu_times_system_pct,0.002816293684957968,1.9055288830744193,2.184362995642095e-06
mixed,tier0:disk_write_Bps,0.002179996995675614,9.766808148547096,4.982031583930497e-08
mixed,tier0:cpu9_pct,0.0019297366000661264,2.7894652422358983,4.78579574452575e-07
mixed,tier0:cpu1_pct,0.001667196551183273,1.1438479137286528,2.124403643725413e-06
mixed,tier0:disk_read_IOPS,0.0016371041409606088,4.32036255518948,1.4358604303426068e-07
mixed,tier0:cpu3_pct,0.0015848490017054194,1.2959307570230143,1.4955887393351259e-06
mixed,tier0:cpu4_pct,0.001167783120523378,0.7167236658776315,2.654733298694597e-06
mixed,tier0:cpu6_pct,0.001162192720315406,3.2815909885056027,1.2542595046660544e-07
mixed,tier0:cpu10_pct,0.001041125657183319,3.1022628174116997,1.1262871346739518e-07
mixed,tier0:cpu2_pct,0.0007907038110984838,0.5622810687993673,1.977519345371872e-06
mixed,tier0:cpu8_pct,0.0005322012264134463,0.3376000039827041,2.485117089347528e-06
mixed,tier0:cpu0_pct,0.00031075380781305303,0.2048622589129786,2.3009596539087793e-06
mixed,tier1_alt:gpu_avg_freq_mhz,0.0,0.0,1.0
mixed,tier1_alt:gpu_residency_active_pct,0.0,0.0,1.0
mixed,tier1_alt:cpu_residency_active_pct,0.0,0.0,1.0
mixed,tier1_alt:cpu_avg_freq_mhz,0.0,0.0,1.0
mixed,tier0:cpu_times_idle_pct,0.0,0.0,1.0171841740291514e-05
