true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,2,1,0,1,0
TLB,0,2,1,0,1
BRANCH,0,0,3,0,1
MEMBW,1,1,0,0,2
ATOMIC,0,1,1,0,2
