feature_profile,tier,workload,stressor,label,n_features,run_score_median,run_score_mean,run_score_p95,samples_1hz
full,tier0,BROWSER,NOMINAL,0,46,0.7022714289242157,1.2816642437762953,4.125231657241673,1000
full,tier0,BROWSER,CACHE,1,46,3.2511662984291188,3.664452792734167,5.76439667189004,1000
full,tier0,BROWSER,TLB,1,46,4.294606103361096,4.574360092649647,6.844941194473648,1000
full,tier0,BROWSER,BRANCH,1,46,5.0613196558365265,7.047987371911811,19.017181324396738,1000
full,tier0,BROWSER,MEMBW,1,46,4.76199830980056,4.849900109717904,6.309357621496517,1000
full,tier0,BROWSER,ATOMIC,1,46,5.315479743723203,5.564660535579456,6.826914930749135,1000
full,tier0,VIDEO_SW,NOMINAL,0,46,0.9403529592627152,1.8128292040346423,4.3894459826784145,1000
full,tier0,VIDEO_SW,CACHE,1,46,1.6941574261185375,1.8592851685231098,2.79334691510382,1000
full,tier0,VIDEO_SW,TLB,1,46,1.589977778869906,1.9716256311408322,3.382335609034902,1000
full,tier0,VIDEO_SW,BRANCH,1,46,1.628885183975776,2.6069274608177504,3.9503279672129157,1000
full,tier0,VIDEO_SW,MEMBW,1,46,2.987893035461858,4.395395519856395,10.842012494619325,1000
full,tier0,VIDEO_SW,ATOMIC,1,46,2.9124205720175107,4.005820966951544,7.420098260899772,1000
full,tier0,PY_AI,NOMINAL,0,46,0.7636080691733811,1.6272070932319433,3.947006519036656,1000
full,tier0,PY_AI,CACHE,1,46,2.8108755860239976,3.024973256445407,4.99909840223245,1000
full,tier0,PY_AI,TLB,1,46,2.141847808287675,2.4370429682758084,4.243965387370851,1000
full,tier0,PY_AI,BRANCH,1,46,2.6734014156682138,3.054677490647285,5.048281105923444,1000
full,tier0,PY_AI,MEMBW,1,46,3.2760175535895044,3.4463681115821116,5.761745280706405,1000
full,tier0,PY_AI,ATOMIC,1,46,6.3568588110017705,5.983621385279919,8.828405990070127,1000
full,tier0,PY_STATS,NOMINAL,0,46,1.1639817726891453,2.0026483747573853,4.486614208000891,1000
full,tier0,PY_STATS,CACHE,1,46,2.1048024407349404,2.7226653713344993,5.005126368297443,1000
full,tier0,PY_STATS,TLB,1,46,3.5939105614188596,4.445021293741141,7.908179447303437,1000
full,tier0,PY_STATS,BRANCH,1,46,4.353098051855545,4.700746027348065,6.0778122497971925,1000
full,tier0,PY_STATS,MEMBW,1,46,5.576420439319456,6.444608276255113,9.653460896432888,1000
full,tier0,PY_STATS,ATOMIC,1,46,6.0194390743060255,6.579005005566413,9.83303228207746,1000
full,tier1_alt,BROWSER,NOMINAL,0,18,0.4971468965821613,3.8946567913078844,24.890028163982212,1000
full,tier1_alt,BROWSER,CACHE,1,18,21.131532867814528,41.71909234673019,147.73120221901513,1000
full,tier1_alt,BROWSER,TLB,1,18,21.43766520848794,30.90725230314322,77.81002316459487,1000
full,tier1_alt,BROWSER,BRANCH,1,18,13.296967535117727,20.716015070021065,65.19781535388643,1000
full,tier1_alt,BROWSER,MEMBW,1,18,19.76018957799485,27.512688800968586,70.62618392769846,1000
full,tier1_alt,BROWSER,ATOMIC,1,18,13.418124251144825,14.537725434488516,23.08129290750182,1000
full,tier1_alt,VIDEO_SW,NOMINAL,0,18,0.6084754905228127,0.951478161136932,2.57707170303088,1000
full,tier1_alt,VIDEO_SW,CACHE,1,18,7.497527198416467,8.46095999392973,13.352340566530525,1000
full,tier1_alt,VIDEO_SW,TLB,1,18,5.385072081879058,7.536390306653266,16.238273959509375,1000
full,tier1_alt,VIDEO_SW,BRANCH,1,18,3.9014070369749234,4.398817916891934,7.009617816432699,1000
full,tier1_alt,VIDEO_SW,MEMBW,1,18,6.607214260320736,7.150123472670947,10.25430316904722,1000
full,tier1_alt,VIDEO_SW,ATOMIC,1,18,6.507906450308814,7.708651097317387,19.486509550642577,1000
full,tier1_alt,PY_AI,NOMINAL,0,18,0.6305991868283656,0.6873171910697191,1.111826340848324,1000
full,tier1_alt,PY_AI,CACHE,1,18,59652325.93341751,59652325.93931325,59652325.975336395,1000
full,tier1_alt,PY_AI,TLB,1,18,1.3998179176611707,1491309.7725499773,2.2188899679773275,1000
full,tier1_alt,PY_AI,BRANCH,1,18,59652326.267858446,59652327.787253045,59652326.80830157,1000
full,tier1_alt,PY_AI,MEMBW,1,18,59652325.66728428,59652326.4079533,59652327.843853734,1000
full,tier1_alt,PY_AI,ATOMIC,1,18,59652326.05932134,59652326.25647926,59652326.312304996,1000
full,tier1_alt,PY_STATS,NOMINAL,0,18,0.6943319806860501,1.0185171240804032,2.992764346715485,1000
full,tier1_alt,PY_STATS,CACHE,1,18,1.9739458999556803,2.101933979495362,3.317318099939328,1000
