feature_profile,tier,workload,stressor,label,n_features,run_score_median,run_score_mean,run_score_p95,samples_1hz
mixed,tier0,BROWSER,NOMINAL,0,46,0.7022714289242157,1.2816642437762953,4.125231657241673,1000
mixed,tier0,BROWSER,CACHE,1,46,3.2511662984291188,3.664452792734167,5.76439667189004,1000
mixed,tier0,BROWSER,TLB,1,46,4.294606103361096,4.574360092649647,6.844941194473648,1000
mixed,tier0,BROWSER,BRANCH,1,46,5.0613196558365265,7.047987371911811,19.017181324396738,1000
mixed,tier0,BROWSER,MEMBW,1,46,4.76199830980056,4.849900109717904,6.309357621496517,1000
mixed,tier0,BROWSER,ATOMIC,1,46,5.315479743723203,5.564660535579456,6.826914930749135,1000
mixed,tier0,VIDEO_SW,NOMINAL,0,46,0.9403529592627152,1.8128292040346423,4.3894459826784145,1000
mixed,tier0,VIDEO_SW,CACHE,1,46,1.6941574261185375,1.8592851685231098,2.79334691510382,1000
mixed,tier0,VIDEO_SW,TLB,1,46,1.589977778869906,1.9716256311408322,3.382335609034902,1000
mixed,tier0,VIDEO_SW,BRANCH,1,46,1.628885183975776,2.6069274608177504,3.9503279672129157,1000
mixed,tier0,VIDEO_SW,MEMBW,1,46,2.987893035461858,4.395395519856395,10.842012494619325,1000
mixed,tier0,VIDEO_SW,ATOMIC,1,46,2.9124205720175107,4.005820966951544,7.420098260899772,1000
mixed,tier0,PY_AI,NOMINAL,0,46,0.7636080691733811,1.6272070932319433,3.947006519036656,1000
mixed,tier0,PY_AI,CACHE,1,46,2.8108755860239976,3.024973256445407,4.99909840223245,1000
mixed,tier0,PY_AI,TLB,1,46,2.141847808287675,2.4370429682758084,4.243965387370851,1000
mixed,tier0,PY_AI,BRANCH,1,46,2.6734014156682138,3.054677490647285,5.048281105923444,1000
mixed,tier0,PY_AI,MEMBW,1,46,3.2760175535895044,3.4463681115821116,5.761745280706405,1000
mixed,tier0,PY_AI,ATOMIC,1,46,6.3568588110017705,5.983621385279919,8.828405990070127,1000
mixed,tier0,PY_STATS,NOMINAL,0,46,1.1639817726891453,2.0026483747573853,4.486614208000891,1000
mixed,tier0,PY_STATS,CACHE,1,46,2.1048024407349404,2.7226653713344993,5.005126368297443,1000
mixed,tier0,PY_STATS,TLB,1,46,3.5939105614188596,4.445021293741141,7.908179447303437,1000
mixed,tier0,PY_STATS,BRANCH,1,46,4.353098051855545,4.700746027348065,6.0778122497971925,1000
mixed,tier0,PY_STATS,MEMBW,1,46,5.576420439319456,6.444608276255113,9.653460896432888,1000
mixed,tier0,PY_STATS,ATOMIC,1,46,6.0194390743060255,6.579005005566413,9.83303228207746,1000
mixed,tier1_alt,BROWSER,NOMINAL,0,11,0.27305462731622737,4.471860715984463,29.780803753801287,1000
mixed,tier1_alt,BROWSER,CACHE,1,11,26.622726432403145,53.762731385874915,199.2950508796718,1000
mixed,tier1_alt,BROWSER,TLB,1,11,25.855224405907993,38.09244213393907,100.02739543450323,1000
mixed,tier1_alt,BROWSER,BRANCH,1,11,16.489201285365258,25.43259094165534,84.5645688918103,1000
mixed,tier1_alt,BROWSER,MEMBW,1,11,25.59760520898851,34.65215020983204,93.2976966094736,1000
mixed,tier1_alt,BROWSER,ATOMIC,1,11,16.356238131338497,17.488011577146807,27.99183388388743,1000
mixed,tier1_alt,VIDEO_SW,NOMINAL,0,11,0.38126978494807195,0.5879227293797937,1.5114016654765368,1000
mixed,tier1_alt,VIDEO_SW,CACHE,1,11,4.239837278437605,4.831231738357543,7.621585688968436,1000
mixed,tier1_alt,VIDEO_SW,TLB,1,11,3.211685146518777,4.538459935375157,9.787808187992841,1000
mixed,tier1_alt,VIDEO_SW,BRANCH,1,11,1.9403143174910533,2.299110636827114,4.575429856044457,1000
mixed,tier1_alt,VIDEO_SW,MEMBW,1,11,3.672705684177835,4.4432618553478695,7.374184055737652,1000
