tier_family,view,profile_variant,category_id,category_label,category_short,feature,category_order
Tier-1,Tier-1 full,full,t1f_cpu_domain,CPU cluster power / usage,CPU cluster power/usage,pcpu_usage_1,1
Tier-1,Tier-1 full,full,t1f_gpu_domain,GPU power / engine usage,GPU power/engine usage,gpu_power,2
Tier-1,Tier-1 full,full,t1f_gpu_domain,GPU power / engine usage,GPU power/engine usage,gpu_ram_power,2
Tier-1,Tier-1 full,full,t1f_gpu_domain,GPU power / engine usage,GPU power/engine usage,gpu_usage_0,2
Tier-1,Tier-1 full,full,t1f_gpu_domain,GPU power / engine usage,GPU power/engine usage,gpu_usage_1,2
Tier-1,Tier-1 full,full,t1f_memory,Memory / swap / power,Memory/swap/power,memory_ram_usage,3
Tier-1,Tier-1 full,full,t1f_memory,Memory / swap / power,Memory/swap/power,memory_swap_total,3
Tier-1,Tier-1 full,full,t1f_memory,Memory / swap / power,Memory/swap/power,memory_swap_usage,3
Tier-1,Tier-1 full,full,t1f_memory,Memory / swap / power,Memory/swap/power,ram_power,3
Tier-1,Tier-1 full,full,t1f_accel,Accelerator power,Accelerator power,ane_power,4
Tier-1,Tier-1 full,full,t1f_thermal,Thermal,Thermal,temp_cpu_temp_avg,5
Tier-1,Tier-1 full,full,t1f_thermal,Thermal,Thermal,temp_gpu_temp_avg,5
Tier-2,Tier-2 core,core,t2_place,Execution placement / affinity,Core placement,avg_core_id,0
Tier-2,Tier-2 core,core,t2_place,Execution placement / affinity,Core placement,max_core_id,0
Tier-2,Tier-2 core,core,t2_density,Execution density / workload volume,Execution density,samples_per_bucket,1
Tier-2,Tier-2 core,core,t2_density,Execution density / workload volume,Execution density,total_weight_ns,1
Tier-2,Tier-2 core,core,t2_concurrency,Concurrency diversity,Concurrency,unique_process_count,2
Tier-2,Tier-2 core,core,t2_concurrency,Concurrency diversity,Concurrency,unique_thread_count,2
Tier-2,Tier-2 core,core,t2_bookkeeping,Profiler bookkeeping,Trace bookkeeping,sentinel_count,3
Tier-2,Tier-2 full,full,t2_place,Execution placement / affinity,Core placement,avg_core_id,0
Tier-2,Tier-2 full,full,t2_place,Execution placement / affinity,Core placement,max_core_id,0
Tier-2,Tier-2 full,full,t2_density,Execution density / workload volume,Execution density,running_count,1
Tier-2,Tier-2 full,full,t2_density,Execution density / workload volume,Execution density,samples_per_bucket,1
Tier-2,Tier-2 full,full,t2_density,Execution density / workload volume,Execution density,total_weight_ns,1
Tier-2,Tier-2 full,full,t2_concurrency,Concurrency diversity,Concurrency,unique_process_count,2
Tier-2,Tier-2 full,full,t2_concurrency,Concurrency diversity,Concurrency,unique_thread_count,2
Tier-2,Tier-2 full,full,t2_temporal,Temporal coverage / trace span,Temporal coverage,first_sample_time_ns,3
Tier-2,Tier-2 full,full,t2_temporal,Temporal coverage / trace span,Temporal coverage,last_sample_time_ns,3
Tier-2,Tier-2 full,full,t2_temporal,Temporal coverage / trace span,Temporal coverage,sample_span_ns,3
Tier-2,Tier-2 full,full,t2_bookkeeping,Profiler bookkeeping,Trace bookkeeping,sentinel_count,4
