config,holdout_workload,case_id,base_case_id,repeat_tag,repeat_index,workload,stressor,label_name,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,PY_AI__NOMINAL,PY_AI__NOMINAL,,0,PY_AI,NOMINAL,NOMINAL,benign,0,peak_window,5,"169,170,171,172,173",169,0.004520558303760816,0.004507722453548167,0.004520558303760816,tier0,0.0022135066330528966,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0009587082342158832,0.4331173983850325,0.0009710715041133564,0.43870277577349853,0.0,0.0,0.0001343419955701503,0.06069193268459473,0.0001493848991535071,0.0674878931568746,tier0:cpu_times_idle_pct,0.0002357606615955674,tier0:net_sent_Bps,0.0001229122665329043,tier0:cpu_pct,0.00011202155649722649,tier0:net_sent_Pps,0.0001097027389862792,tier0:cpu_times_user_pct,0.00010735524404898084,memory_io,0.0009710715041133564,compute,0.0009587082342158832,platform_pressure,0.0001493848991535071,mixed
tier0,ALL,PY_AI__TLB,PY_AI__TLB,,0,PY_AI,TLB,ANOMALY,memory_pressure,1,peak_window,5,"723,724,725,726,727",723,0.006627732863441604,0.00661384932755806,0.006627732863441604,tier0,0.0037950692057388997,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0012068555185349547,0.31800619517292306,0.002270134919811468,0.5981801112819161,0.0,0.0,0.00016944887238256755,0.0446497450234444,0.00014862989500990975,0.039163948521716486,tier0:cpu_times_idle_pct,0.00021401401853175063,tier0:net_recv_Pps,0.0002007683554063009,tier0:swap_sin_bytes,0.00019347551175856334,tier0:net_recv_Bps,0.00019182393027457922,tier0:net_sent_Pps,0.00018100008439187612,memory_io,0.002270134919811468,compute,0.0012068555185349547,scheduler_runtime,0.00016944887238256755,mixed
tier0,ALL,PY_STATS__ATOMIC,PY_STATS__ATOMIC,,0,PY_STATS,ATOMIC,ANOMALY,synchronization,1,post_persist,5,"2,3,4,5,6",879,0.021521961144956085,0.0192477588706287,0.01925399781130351,tier0,0.008876084953017421,0.0,0.0,1.0,0.0,0.0,memory_io,0.0018544997004340217,0.20893217113740956,0.00581927960560943,0.6556133291210973,0.0,0.0,0.0008408656842798134,0.09473384816962138,0.000361439962694157,0.04072065157187186,tier0:interrupts,0.0006475232416348937,tier0:net_sent_Bps,0.0006149052211150343,tier0:mem_wired_bytes,0.0005973534434640896,tier0:net_sent_Pps,0.0005932961676335883,tier0:mem_used_bytes,0.0005897193848529845,memory_io,0.00581927960560943,compute,0.0018544997004340217,scheduler_runtime,0.0008408656842798134,mixed
tier0,ALL,PY_STATS__BRANCH,PY_STATS__BRANCH,,0,PY_STATS,BRANCH,ANOMALY,control_flow,1,post_persist,5,"330,331,332,333,334",879,0.016095361545251246,0.013966746662001006,0.013972077012844794,tier0,0.0066451444911176764,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0015287305784800714,0.23005227057492433,0.004232372129015165,0.6369119790656808,0.0,0.0,0.0005259397856371377,0.07914647850624504,0.00035810199798530095,0.05388927185314976,tier0:net_sent_Bps,0.00047108695637246794,tier0:interrupts,0.0004428091749029116,tier0:net_sent_Pps,0.0004426305564940248,tier0:mem_wired_bytes,0.00040780561650882393,tier0:mem_active_bytes,0.00038865610808200095,memory_io,0.004232372129015165,compute,0.0015287305784800714,scheduler_runtime,0.0005259397856371377,mixed
tier0,ALL,PY_STATS__CACHE,PY_STATS__CACHE,,0,PY_STATS,CACHE,ANOMALY,memory_pressure,1,peak_window,4,"876,877,878,879",876,0.009962186843229665,0.009958260483258262,0.009962186843229665,tier0,0.004494380718027521,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.001306962506258875,0.29079924204384494,0.002377979967523277,0.5291006963395207,0.0,0.0,0.0002803695750980064,0.06238224856506015,0.0005290686691473633,0.11771781305157412,tier0:net_sent_Bps,0.0003034761852012784,tier0:net_sent_Pps,0.00022730433641843072,tier0:interrupts,0.0002256690374926674,tier0:mem_wired_bytes,0.0002147038679655404,tier0:cpu_times_idle_pct,0.00020981360886086317,memory_io,0.002377979967523277,compute,0.001306962506258875,platform_pressure,0.0005290686691473633,mixed
tier0,ALL,PY_STATS__MEMBW,PY_STATS__MEMBW,,0,PY_STATS,MEMBW,ANOMALY,memory_pressure,1,post_persist,5,"2,3,4,5,6",879,0.01925704025507069,0.016904415130174003,0.016913438607802186,tier0,0.008264404999836274,0.0,0.0,1.0,0.0,0.0,memory_io,0.0016893434586083924,0.2044119883575236,0.005202400493827269,0.6294948630821376,0.0,0.0,0.0007588264967448476,0.09181864837939098,0.0006138345506557631,0.07427450018094754,tier0:interrupts,0.0005551163799312535,tier0:net_sent_Bps,0.000548424665641911,tier0:swap_sin_bytes,0.0005479331263932253,tier0:mem_wired_bytes,0.0005142018937890348,tier0:net_sent_Pps,0.0005074640960701111,memory_io,0.005202400493827269,compute,0.0016893434586083924,scheduler_runtime,0.0007588264967448476,mixed
tier0,ALL,PY_STATS__NOMINAL,PY_STATS__NOMINAL,,0,PY_STATS,NOMINAL,NOMINAL,benign,0,peak_window,5,"859,860,861,862,863",859,0.004252108101949252,0.004224312364236499,0.004252108101949252,tier0,0.0018393790821955712,0.0,0.0,0.9999999999999997,0.0,0.0,compute,0.001090131580522313,0.5926628127254112,0.0005945650643067228,0.3232422669485951,0.0,0.0,8.630051074198435e-05,0.04691828431525484,6.838192662455148e-05,0.03717663601073875,tier0:cpu_times_idle_pct,0.00021787471721837045,tier0:net_sent_Bps,0.00013321193145720867,tier0:net_sent_Pps,0.00010656988456481051,tier0:cpu11_pct,7.982893881228796e-05,tier0:cpu6_pct,7.520376861895631e-05,compute,0.001090131580522313,memory_io,0.0005945650643067228,scheduler_runtime,8.630051074198435e-05,mixed
tier0,ALL,PY_STATS__TLB,PY_STATS__TLB,,0,PY_STATS,TLB,ANOMALY,memory_pressure,1,peak_window,5,"824,825,826,827,828",824,0.012359525861405941,0.012354723715916057,0.012359525861405941,tier0,0.0052717706500337745,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0014180907861034103,0.2689970562536375,0.003136451000011707,0.5949520964064727,0.0,0.0,0.0003625510512950329,0.0687721593678796,0.0003546778126236237,0.06727868797201021,tier0:net_sent_Bps,0.0003753212624290297,tier0:swap_sin_bytes,0.00031520877119296076,tier0:net_sent_Pps,0.0003118442883334476,tier0:interrupts,0.0002761670344726124,tier0:mem_wired_bytes,0.00025262394677147225,memory_io,0.003136451000011707,compute,0.0014180907861034103,scheduler_runtime,0.0003625510512950329,mixed
tier0,ALL,VIDEO_SW__ATOMIC,VIDEO_SW__ATOMIC,,0,VIDEO_SW,ATOMIC,ANOMALY,synchronization,1,peak_window,5,"2,3,4,5,6",2,0.009807559775946991,0.009771041050925671,0.009807559775946991,tier0,0.00418947783859081,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.001253098308891799,0.29910608366251584,0.0024212874634804826,0.577944926973266,0.0,0.0,0.0003341178601559719,0.07975167145611566,0.00018097420606255686,0.04319731790810237,tier0:mem_used_bytes,0.00038401830075674326,tier0:mem_free_bytes,0.0002490830186796651,tier0:mem_wired_bytes,0.00023683565397620066,tier0:interrupts,0.0002344823672384271,tier0:cpu_times_idle_pct,0.0002013572237788044,memory_io,0.0024212874634804826,compute,0.001253098308891799,scheduler_runtime,0.0003341178601559719,mixed
tier0,ALL,VIDEO_SW__BRANCH,VIDEO_SW__BRANCH,,0,VIDEO_SW,BRANCH,ANOMALY,control_flow,1,post_persist,5,"715,716,717,718,719",799,0.017322703515094056,0.015551004415362174,0.015821316314920904,tier0,0.005808098006958919,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0014344197011991117,0.2469689215781956,0.0037685789707820137,0.6488490666422511,0.0,0.0,0.0003501934734968271,0.060294002111749144,0.00025490586148096896,0.04388800966780447,tier0:net_sent_Bps,0.0003644204235016522,tier0:mem_free_bytes,0.00034251059019571253,tier0:mem_used_bytes,0.0002992969928798216,tier0:disk_write_Bps,0.0002900906396529709,tier0:disk_write_IOPS,0.00026012990005774654,memory_io,0.0037685789707820137,compute,0.0014344197011991117,scheduler_runtime,0.0003501934734968271,mixed
