idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,0.4358874559402466,0.0,0.426841139793396,1555.0,0.2938469648361206,0.0090463059023022,0.0,222.0,0.0074661429971456,17179869184.0,13869088768.0,4294967296.0,3788046336.0,1068.0,0.0053776949644088,0.2894745469093323,15.694820404052734,14.88322639465332,53.039825439453125,2026.0
1,0.4358874559402466,0.0,0.426841139793396,1555.0,0.2938469648361206,0.0090463059023022,0.0,222.0,0.0074661429971456,17179869184.0,13869088768.0,4294967296.0,3788046336.0,1068.0,0.0053776949644088,0.2894745469093323,15.694820404052734,14.88322639465332,53.039825439453125,2026.0
2,0.4358874559402466,0.0,0.426841139793396,1555.0,0.2938469648361206,0.0090463059023022,0.0,222.0,0.0074661429971456,17179869184.0,13869088768.0,4294967296.0,3788046336.0,1068.0,0.0053776949644088,0.2894745469093323,15.694820404052734,14.88322639465332,53.039825439453125,2026.0
3,0.4358874559402466,0.0,0.426841139793396,1555.0,0.2938469648361206,0.0090463059023022,0.0,222.0,0.0074661429971456,17179869184.0,13869088768.0,4294967296.0,3788046336.0,1068.0,0.0053776949644088,0.2894745469093323,15.694820404052734,14.88322639465332,53.039825439453125,2026.0
4,0.4358874559402466,0.0,0.426841139793396,1555.0,0.2938469648361206,0.0090463059023022,0.0,222.0,0.0074661429971456,17179869184.0,13869088768.0,4294967296.0,3788046336.0,1068.0,0.0053776949644088,0.2894745469093323,15.694820404052734,14.88322639465332,53.039825439453125,2026.0
5,0.4370445013046264,0.0,0.4161848127841949,1550.0,0.2920067012310028,0.0208596978336572,0.0009881423320621,222.0,0.0074868584051728,17179869184.0,13913079808.0,4294967296.0,3788046336.0,764.0,0.0056282980367541,0.2544275522232055,13.360892295837402,10.091678619384766,52.31230545043945,2026.0
6,0.4370445013046264,0.0,0.4161848127841949,1550.0,0.2920067012310028,0.0208596978336572,0.0009881423320621,222.0,0.0074868584051728,17179869184.0,13913079808.0,4294967296.0,3788046336.0,764.0,0.0056282980367541,0.2544275522232055,13.360892295837402,10.091678619384766,52.31230545043945,2026.0
7,0.4370445013046264,0.0,0.4161848127841949,1550.0,0.2920067012310028,0.0208596978336572,0.0009881423320621,222.0,0.0074868584051728,17179869184.0,13913079808.0,4294967296.0,3788046336.0,764.0,0.0056282980367541,0.2544275522232055,13.360892295837402,10.091678619384766,52.31230545043945,2026.0
8,0.4370445013046264,0.0,0.4161848127841949,1550.0,0.2920067012310028,0.0208596978336572,0.0009881423320621,222.0,0.0074868584051728,17179869184.0,13913079808.0,4294967296.0,3788046336.0,764.0,0.0056282980367541,0.2544275522232055,13.360892295837402,10.091678619384766,52.31230545043945,2026.0
9,0.4370445013046264,0.0,0.4161848127841949,1550.0,0.2920067012310028,0.0208596978336572,0.0009881423320621,222.0,0.0074868584051728,17179869184.0,13913079808.0,4294967296.0,3788046336.0,764.0,0.0056282980367541,0.2544275522232055,13.360892295837402,10.091678619384766,52.31230545043945,2026.0
10,0.4370445013046264,0.0,0.4161848127841949,1550.0,0.2920067012310028,0.0208596978336572,0.0009881423320621,222.0,0.0074868584051728,17179869184.0,13913079808.0,4294967296.0,3788046336.0,764.0,0.0056282980367541,0.2544275522232055,13.360892295837402,10.091678619384766,52.31230545043945,2026.0
11,0.767998218536377,0.0,0.7099480628967285,1876.0,0.2980940639972687,0.0580501817166805,0.0018706293776631,333.0,0.0158454645425081,17179869184.0,13863436288.0,4294967296.0,3788046336.0,1328.0,0.0177866276353597,0.3280138373374939,13.33189868927002,16.056438446044922,52.2344856262207,2026.0
12,0.767998218536377,0.0,0.7099480628967285,1876.0,0.2980940639972687,0.0580501817166805,0.0018706293776631,333.0,0.0158454645425081,17179869184.0,13863436288.0,4294967296.0,3788046336.0,1328.0,0.0177866276353597,0.3280138373374939,13.33189868927002,16.056438446044922,52.2344856262207,2026.0
13,0.767998218536377,0.0,0.7099480628967285,1876.0,0.2980940639972687,0.0580501817166805,0.0018706293776631,333.0,0.0158454645425081,17179869184.0,13863436288.0,4294967296.0,3788046336.0,1328.0,0.0177866276353597,0.3280138373374939,13.33189868927002,16.056438446044922,52.2344856262207,2026.0
14,0.767998218536377,0.0,0.7099480628967285,1876.0,0.2980940639972687,0.0580501817166805,0.0018706293776631,333.0,0.0158454645425081,17179869184.0,13863436288.0,4294967296.0,3788046336.0,1328.0,0.0177866276353597,0.3280138373374939,13.33189868927002,16.056438446044922,52.2344856262207,2026.0
15,0.767998218536377,0.0,0.7099480628967285,1876.0,0.2980940639972687,0.0580501817166805,0.0018706293776631,333.0,0.0158454645425081,17179869184.0,13863436288.0,4294967296.0,3788046336.0,1328.0,0.0177866276353597,0.3280138373374939,13.33189868927002,16.056438446044922,52.2344856262207,2026.0
16,0.92892986536026,0.0,0.8379356265068054,1708.0,0.3222808241844177,0.0909942314028739,0.0029107762966305,412.0,0.0414450503885746,17179869184.0,14081245184.0,4294967296.0,3788046336.0,1161.0,0.0243758559226989,0.3271000385284424,13.385289192199709,10.071074485778809,52.03157806396485,2026.0
17,0.92892986536026,0.0,0.8379356265068054,1708.0,0.3222808241844177,0.0909942314028739,0.0029107762966305,412.0,0.0414450503885746,17179869184.0,14081245184.0,4294967296.0,3788046336.0,1161.0,0.0243758559226989,0.3271000385284424,13.385289192199709,10.071074485778809,52.03157806396485,2026.0
18,0.92892986536026,0.0,0.8379356265068054,1708.0,0.3222808241844177,0.0909942314028739,0.0029107762966305,412.0,0.0414450503885746,17179869184.0,14081245184.0,4294967296.0,3788046336.0,1161.0,0.0243758559226989,0.3271000385284424,13.385289192199709,10.071074485778809,52.03157806396485,2026.0
19,0.92892986536026,0.0,0.8379356265068054,1708.0,0.3222808241844177,0.0909942314028739,0.0029107762966305,412.0,0.0414450503885746,17179869184.0,14081245184.0,4294967296.0,3788046336.0,1161.0,0.0243758559226989,0.3271000385284424,13.385289192199709,10.071074485778809,52.03157806396485,2026.0
20,0.92892986536026,0.0,0.8379356265068054,1708.0,0.3222808241844177,0.0909942314028739,0.0029107762966305,412.0,0.0414450503885746,17179869184.0,14081245184.0,4294967296.0,3788046336.0,1161.0,0.0243758559226989,0.3271000385284424,13.385289192199709,10.071074485778809,52.03157806396485,2026.0
21,0.7930811643600464,0.0,0.6763198375701904,2286.0,0.381289005279541,0.1167613118886947,0.0037523189093917,444.0,0.0424938313663005,17179869184.0,13843677184.0,4294967296.0,3788046336.0,899.0,0.0163922160863876,0.2762458622455597,12.752715110778809,36.26823043823242,51.886268615722656,2026.0
22,0.7930811643600464,0.0,0.6763198375701904,2286.0,0.381289005279541,0.1167613118886947,0.0037523189093917,444.0,0.0424938313663005,17179869184.0,13843677184.0,4294967296.0,3788046336.0,899.0,0.0163922160863876,0.2762458622455597,12.752715110778809,36.26823043823242,51.886268615722656,2026.0
23,0.7930811643600464,0.0,0.6763198375701904,2286.0,0.381289005279541,0.1167613118886947,0.0037523189093917,444.0,0.0424938313663005,17179869184.0,13843677184.0,4294967296.0,3788046336.0,899.0,0.0163922160863876,0.2762458622455597,12.752715110778809,36.26823043823242,51.886268615722656,2026.0
24,0.7930811643600464,0.0,0.6763198375701904,2286.0,0.381289005279541,0.1167613118886947,0.0037523189093917,444.0,0.0424938313663005,17179869184.0,13843677184.0,4294967296.0,3788046336.0,899.0,0.0163922160863876,0.2762458622455597,12.752715110778809,36.26823043823242,51.886268615722656,2026.0
25,0.7930811643600464,0.0,0.6763198375701904,2286.0,0.381289005279541,0.1167613118886947,0.0037523189093917,444.0,0.0424938313663005,17179869184.0,13843677184.0,4294967296.0,3788046336.0,899.0,0.0163922160863876,0.2762458622455597,12.752715110778809,36.26823043823242,51.886268615722656,2026.0
26,0.7876340746879578,0.0,0.683296799659729,2245.0,0.3570474684238434,0.1043372675776481,0.0037189039867371,444.0,0.0393613763153553,17179869184.0,13821394944.0,4294967296.0,3788046336.0,850.0,0.0174836348742246,0.2633969485759735,12.84146499633789,35.94879150390625,51.6634407043457,2026.0
27,0.7876340746879578,0.0,0.683296799659729,2245.0,0.3570474684238434,0.1043372675776481,0.0037189039867371,444.0,0.0393613763153553,17179869184.0,13821394944.0,4294967296.0,3788046336.0,850.0,0.0174836348742246,0.2633969485759735,12.84146499633789,35.94879150390625,51.6634407043457,2026.0
28,0.7876340746879578,0.0,0.683296799659729,2245.0,0.3570474684238434,0.1043372675776481,0.0037189039867371,444.0,0.0393613763153553,17179869184.0,13821394944.0,4294967296.0,3788046336.0,850.0,0.0174836348742246,0.2633969485759735,12.84146499633789,35.94879150390625,51.6634407043457,2026.0
