config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.4,0.65,0.5,0.4,0.34222222222222215,0.45,0.55,0.4444444444444444,0.5555555555555556,0.4,0.2742857142857143,-0.00029717392090020665,0.009789246847476021,0.015129204935914681,0.017260057760461182,0.012619715549816633,0.09269545041030616,mixed
tier0_tier1,20,0.3,0.7,0.4,0.3,0.27999999999999997,0.6,0.4,0.4166666666666667,0.75,0.3666666666666666,0.3888888888888889,-0.00012156175071256492,0.0009547730376989194,0.023070797567281497,0.025053200729402567,0.01572407403250606,0.02497955808085839,mixed
tier0_tier1_tier2,20,0.4,0.75,0.35,0.4,0.3567099567099567,0.45,0.55,0.6666666666666666,0.8888888888888888,0.6,0.5599999999999999,0.0030983767774222736,0.004293114346598181,0.022441505036728756,0.017763883877101323,0.015902986679931667,0.10010671282711707,mixed
