true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,1,0,1,2
TLB,1,0,1,0,2
BRANCH,0,0,3,0,1
MEMBW,1,0,0,0,3
ATOMIC,1,0,0,0,3
