stressor,dominant_mechanism_mode,compute_share,memory_io_share,thermal_power_share,scheduler_runtime_share,platform_pressure_share,feature_profile
ATOMIC,compute,0.3792646711013157,0.27482575696099404,0.12102577180055545,0.12475013533906427,0.10013366479807045,full
BRANCH,compute,0.3378129713769489,0.33677697404287876,0.08746638561029682,0.1681035688196722,0.0698401001502032,full
CACHE,compute,0.5209135091439505,0.2511377243451363,0.07513047908396403,0.09140886628843192,0.0614094211385172,full
MEMBW,compute,0.3553877685764424,0.31201690578075564,0.10372060861171384,0.12829654123366774,0.10057817579742029,full
TLB,compute,0.3844140587084718,0.28204625173579767,0.11974843172027189,0.1305212199585367,0.08327003787692203,full
