config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.4,0.75,0.45,0.4,0.3871428571428571,0.55,0.45,0.36363636363636365,0.6363636363636364,0.4666666666666666,0.3704761904761905,-0.014445360657758801,0.0031668924357917266,0.016356779029052068,0.014941517470514754,0.01300934694070335,-0.06035582689811195,mixed
tier0_tier1,20,0.3,0.35,0.4,0.3,0.18571428571428572,0.7,0.3,0.42857142857142855,0.5,0.35,0.2533333333333333,-0.0991469530758337,-0.03237634269494319,0.027478220416181594,0.02805124527764333,0.013124704868571112,-0.22895625850035728,mixed
tier0_tier1_tier2,20,0.15,0.3,0.35,0.15,0.10666666666666666,0.6,0.4,0.0,0.25,0.0,0.0,0.020547281236383597,0.0025466951929415393,0.024411115015259777,0.024726429494733283,0.015086121424009901,-0.02326789252300501,mixed
