stressor,dominant_mechanism_mode,compute_share,memory_io_share,thermal_power_share,scheduler_runtime_share,platform_pressure_share,feature_profile
ATOMIC,compute,0.3490447208971661,0.30600767378958554,0.10612394381377735,0.12309387833189744,0.1157297831675736,full
BRANCH,memory_io,0.31397311434870256,0.37097358240415335,0.07804198682636233,0.1538851305150809,0.08312618590570095,full
CACHE,compute,0.4868967619777395,0.2867668947996864,0.0663734516358441,0.08788491496499783,0.07207797662173229,full
MEMBW,compute,0.32464113285501495,0.34588860886225004,0.09392426705624217,0.12176088538173895,0.11378510584475397,full
TLB,compute,0.35143799076927656,0.32089992941241596,0.10636392251481724,0.12440233776608955,0.09689581953740073,full
