true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,0,1,0,1,2
TLB,0,0,1,0,2,1
BRANCH,0,0,1,0,0,3
MEMBW,1,0,0,0,2,1
ATOMIC,1,0,0,0,2,1
