config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second
tier0,20,0.3,0.45,0.3,0.24623376623376622,0.027014559366377512,0.019691834066053664
tier0_tier1,20,0.2,0.55,0.2,0.19,0.017925100797989136,0.015908119081888786
tier0_tier1_tier2,20,0.2,0.25,0.2,0.19047619047619047,0.0163741059808014,0.014850866512682099
