stressor,tier0_share,tier1_alt_share,tier2_share,dominant_tier_mode,feature_profile
ATOMIC,0.580939752848647,0.25807755581929026,0.1609826913320629,tier0,full
BRANCH,0.6094436057725126,0.219356943645639,0.17119945058184838,tier0,full
CACHE,0.4636600976808416,0.19959822612207206,0.33674167619708634,tier0,full
MEMBW,0.628899775571163,0.22673994694056135,0.14436027748827562,tier0,full
TLB,0.5500372496128512,0.27361761395555123,0.17634513643159755,tier0,full
