stage,status,gain,block_B,alpha,persist_k,roc_auc_wc,pr_auc_wc,pr_auc,roc_auc,anomaly_detect_rate,benign_run_alert_rate,benign_run_keep_rate,median_time_to_detect_s,diag_source,diag_top1_acc,diag_top2_acc,diag_macro_f1,diag_selective_top2_acc,diag_selective_coverage,diag_mechanism_top1_proxy,diag_mechanism_top2_proxy,diag_mechanism_top3_proxy,feature_profile,selection_mode,out_dir,diag_strong_score,has_diag_over_0_8,alert_utility
gain_block,ok,0.2,45,0.05,3,1.0,1.0000000000000002,0.9591804774602762,0.85,0.5,0.0,1.0,64.0,feature-level,0.55,0.75,0.5732600732600732,1.0,0.1,0.9166666666666666,0.9833333333333333,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.2_B45_a0.05_k3,1.0,1,0.7698260073260073
gain_block,ok,0.2,60,0.05,3,1.0,1.0000000000000002,0.9591804774602762,0.85,0.45,0.0,1.0,62.0,feature-level,0.5,0.7,0.5056410256410256,0.75,,0.9333333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.2_B60_a0.05_k3,1.0,1,0.6955641025641025
gain_block,ok,0.2,90,0.05,3,1.0,1.0000000000000002,0.9536249219047206,0.8375,0.45,0.0,1.0,92.0,feature-level,0.45,0.75,0.4411965811965812,0.7857142857142857,0.7,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.2_B90_a0.05_k3,1.0,1,0.6816196581196581
gain_block,ok,0.2,120,0.05,3,1.0,1.0000000000000002,0.9402320647618636,0.8125,0.45,0.0,1.0,122.0,feature-level,0.5,0.75,0.4865934065934066,0.8,0.75,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.2_B120_a0.05_k3,1.0,1,0.6986593406593405
gain_block,ok,0.25,20,0.05,3,1.0,1.0000000000000002,0.957015975295774,0.8375,0.65,0.25,0.75,43.0,feature-level,0.55,0.7,0.5532600732600732,1.0,0.05,0.9166666666666666,0.9833333333333333,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.25_B20_a0.05_k3,1.0,1,0.6628260073260074
gain_block,ok,0.25,30,0.05,3,1.0,1.0000000000000002,0.962015975295774,0.85,0.55,0.25,0.75,42.0,feature-level,0.55,0.7,0.5532600732600732,1.0,0.05,0.9166666666666666,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.25_B30_a0.05_k3,1.0,1,0.5628260073260074
gain_block,ok,0.25,45,0.05,3,1.0,1.0000000000000002,0.957015975295774,0.8375,0.5,0.0,1.0,63.5,feature-level,0.55,0.7,0.5532600732600732,1.0,0.05,0.9333333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.25_B45_a0.05_k3,1.0,1,0.7628260073260072
gain_block,ok,0.25,60,0.05,3,1.0,1.0000000000000002,0.9591804774602762,0.85,0.45,0.0,1.0,62.0,feature-level,0.5,0.7,0.4865934065934066,1.0,0.05,0.95,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.25_B60_a0.05_k3,1.0,1,0.6936593406593405
gain_block,ok,0.25,90,0.05,3,1.0,1.0000000000000002,0.9536249219047206,0.8375,0.45,0.0,1.0,92.0,feature-level,0.5,0.7,0.4865934065934066,0.75,,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.25_B90_a0.05_k3,1.0,1,0.6936593406593405
gain_block,ok,0.25,120,0.05,3,1.0,1.0000000000000002,0.9473749219047206,0.825,0.45,0.0,1.0,122.0,feature-level,0.5,0.7,0.4865934065934066,0.75,,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.25_B120_a0.05_k3,1.0,1,0.6936593406593405
gain_block,ok,0.35,20,0.05,3,1.0,1.0000000000000002,0.957015975295774,0.8375,0.65,0.25,0.75,43.0,feature-level,0.5,0.6,0.4856410256410257,1.0,0.05,0.9333333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.35_B20_a0.05_k3,1.0,1,0.6335641025641026
gain_block,ok,0.35,30,0.05,3,1.0,1.0000000000000002,0.957015975295774,0.8375,0.55,0.25,0.75,73.0,feature-level,0.5,0.6,0.4856410256410257,1.0,0.05,0.9333333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.35_B30_a0.05_k3,1.0,1,0.5335641025641026
gain_block,ok,0.35,45,0.05,3,1.0,1.0000000000000002,0.957015975295774,0.8375,0.5,0.0,1.0,63.0,feature-level,0.5,0.6,0.4865934065934066,1.0,0.05,0.95,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.35_B45_a0.05_k3,1.0,1,0.7336593406593407
gain_block,ok,0.35,60,0.05,3,1.0,1.0000000000000002,0.9536249219047206,0.8375,0.45,0.0,1.0,62.0,feature-level,0.45,0.6,0.4256410256410256,1.0,0.05,0.95,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.35_B60_a0.05_k3,1.0,1,0.6650641025641026
gain_block,ok,0.35,90,0.05,3,1.0,1.0000000000000002,0.9536249219047206,0.8375,0.45,0.0,1.0,92.0,feature-level,0.45,0.6,0.4256410256410256,0.75,,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.35_B90_a0.05_k3,1.0,1,0.6650641025641026
gain_block,ok,0.35,120,0.05,3,1.0,1.0000000000000002,0.9473749219047206,0.825,0.45,0.0,1.0,122.0,feature-level,0.45,0.6,0.4256410256410256,1.0,0.05,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.35_B120_a0.05_k3,1.0,1,0.6650641025641026
gain_block,ok,0.5,20,0.05,3,1.0,1.0000000000000002,0.9472222303933336,0.8,0.65,0.25,0.75,70.0,feature-level,0.4,0.55,0.3456410256410256,0.75,,0.9333333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.5_B20_a0.05_k3,1.0,1,0.5895641025641026
gain_block,ok,0.5,30,0.05,3,1.0,1.0000000000000002,0.957015975295774,0.8375,0.55,0.25,0.75,71.0,feature-level,0.45,0.6,0.4256410256410256,0.75,,0.95,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.5_B30_a0.05_k3,1.0,1,0.5150641025641026
gain_block,ok,0.5,45,0.05,3,1.0,1.0000000000000002,0.9514604197402184,0.825,0.5,0.0,1.0,62.5,feature-level,0.45,0.6,0.4256410256410256,0.75,,0.95,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.5_B45_a0.05_k3,1.0,1,0.7150641025641027
gain_block,ok,0.5,60,0.05,3,1.0,1.0000000000000002,0.9514604197402184,0.825,0.5,0.0,1.0,73.0,feature-level,0.45,0.6,0.4256410256410256,0.75,,0.95,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.5_B60_a0.05_k3,1.0,1,0.7150641025641027
gain_block,ok,0.5,90,0.05,3,1.0,1.0000000000000002,0.9536249219047206,0.8375,0.45,0.0,1.0,92.0,feature-level,0.4,0.6,0.3456410256410256,0.75,0.2,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.5_B90_a0.05_k3,1.0,1,0.6445641025641027
gain_block,ok,0.5,120,0.05,3,1.0,1.0000000000000002,0.9536249219047206,0.8375,0.45,0.0,1.0,122.0,feature-level,0.4,0.6,0.3480652680652681,0.8,,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.5_B120_a0.05_k3,1.0,1,0.644806526806527
