config,n_cases,n_features,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr_run_alert,tpr_run_alert,median_nominal_score,median_anomaly_score,median_nominal_score_wc,median_anomaly_score_wc
tier0,24,46,0.7875,0.9218987314285301,1.0,1.0000000000000002,0.25,0.3,0.005726061840229148,0.013224333325691196,0.0,0.007681221018283327
tier0_tier1,24,64,0.7874999999999999,0.9414225409523397,1.0,1.0000000000000002,0.25,0.5,0.008579987580518665,0.02592273348693505,0.0,0.012672393478182827
tier0_tier1_tier2,24,75,0.9625,0.9924874686716791,1.0,1.0000000000000002,0.25,0.9,0.0031554589612727653,0.008770024271356341,0.0,0.00503358896606341
