true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,1,0,2,1
TLB,0,0,2,1,1
BRANCH,0,0,1,2,1
MEMBW,1,0,1,1,1
ATOMIC,1,1,1,0,1
