config,holdout_workload,roc_auc,pr_auc,fpr,tpr,benign_run_keep_rate,roc_auc_wc,pr_auc_wc,n_features
tier0,ALL,0.7875,0.9218987314285301,0.25,0.3,0.75,1.0,1.0000000000000002,46
tier0_tier1,ALL,0.7874999999999999,0.9414225409523397,0.25,0.5,0.75,1.0,1.0000000000000002,64
tier0_tier1_tier2,ALL,0.9625,0.9924874686716791,0.25,0.9,0.75,1.0,1.0000000000000002,75
