true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,2,0,0,0,2
TLB,1,0,0,0,0,3
BRANCH,1,1,0,0,0,2
MEMBW,1,0,1,0,0,2
ATOMIC,0,0,1,0,0,3
