true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,0,0,1,1,2
TLB,0,1,0,0,2,1
BRANCH,0,0,1,0,0,3
MEMBW,0,0,1,0,0,3
ATOMIC,0,0,0,0,3,1
