true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,1,0,0,2,1
TLB,0,0,0,0,4
BRANCH,1,0,1,1,1
MEMBW,0,0,2,2,0
ATOMIC,0,3,1,0,0
